dataset,instancia,n,m,archivo
grafo-euleriano,E-3,3,3.0,instancias/grafo-euleriano/E-3.txt
grafo-euleriano,E-4,4,6.0,instancias/grafo-euleriano/E-4.txt
grafo-euleriano,E-5,5,10.0,instancias/grafo-euleriano/E-5.txt
grafo-euleriano,E-6,6,15.0,instancias/grafo-euleriano/E-6.txt
grafo-euleriano,E-7,7,21.0,instancias/grafo-euleriano/E-7.txt
grafo-euleriano,E-8,8,28.0,instancias/grafo-euleriano/E-8.txt
grafo-euleriano,E-9,9,36.0,instancias/grafo-euleriano/E-9.txt
grafo-euleriano,E-10,10,45.0,instancias/grafo-euleriano/E-10.txt
grafo-euleriano,E-11,11,55.0,instancias/grafo-euleriano/E-11.txt
grafo-euleriano,E-12,12,66.0,instancias/grafo-euleriano/E-12.txt
grafo-euleriano,E-13,13,78.0,instancias/grafo-euleriano/E-13.txt
grafo-euleriano,E-14,14,91.0,instancias/grafo-euleriano/E-14.txt
grafo-euleriano,E-15,15,105.0,instancias/grafo-euleriano/E-15.txt
grafo-euleriano,E-16,16,120.0,instancias/grafo-euleriano/E-16.txt
grafo-euleriano,E-17,17,136.0,instancias/grafo-euleriano/E-17.txt
grafo-euleriano,E-18,18,153.0,instancias/grafo-euleriano/E-18.txt
grafo-euleriano,E-19,19,171.0,instancias/grafo-euleriano/E-19.txt
grafo-euleriano,E-20,20,190.0,instancias/grafo-euleriano/E-20.txt
grafo-euleriano,E-21,21,210.0,instancias/grafo-euleriano/E-21.txt
grafo-euleriano,E-22,22,231.0,instancias/grafo-euleriano/E-22.txt
grafo-euleriano,E-23,23,253.0,instancias/grafo-euleriano/E-23.txt
grafo-euleriano,E-24,24,276.0,instancias/grafo-euleriano/E-24.txt
grafo-euleriano,E-25,25,300.0,instancias/grafo-euleriano/E-25.txt
grafo-euleriano,E-26,26,325.0,instancias/grafo-euleriano/E-26.txt
grafo-euleriano,E-27,27,351.0,instancias/grafo-euleriano/E-27.txt
grafo-euleriano,E-28,28,378.0,instancias/grafo-euleriano/E-28.txt
grafo-euleriano,E-29,29,406.0,instancias/grafo-euleriano/E-29.txt
grafo-euleriano,E-30,30,435.0,instancias/grafo-euleriano/E-30.txt
grafo-euleriano,E-31,31,465.0,instancias/grafo-euleriano/E-31.txt
grafo-euleriano,E-32,32,496.0,instancias/grafo-euleriano/E-32.txt
grafo-euleriano,E-33,33,528.0,instancias/grafo-euleriano/E-33.txt
grafo-euleriano,E-34,34,561.0,instancias/grafo-euleriano/E-34.txt
grafo-euleriano,E-35,35,595.0,instancias/grafo-euleriano/E-35.txt
grafo-euleriano,E-36,36,630.0,instancias/grafo-euleriano/E-36.txt
grafo-euleriano,E-37,37,666.0,instancias/grafo-euleriano/E-37.txt
grafo-euleriano,E-38,38,703.0,instancias/grafo-euleriano/E-38.txt
grafo-euleriano,E-39,39,741.0,instancias/grafo-euleriano/E-39.txt
grafo-euleriano,E-40,40,780.0,instancias/grafo-euleriano/E-40.txt
grafo-euleriano,E-41,41,820.0,instancias/grafo-euleriano/E-41.txt
grafo-euleriano,E-42,42,861.0,instancias/grafo-euleriano/E-42.txt
grafo-euleriano,E-43,43,903.0,instancias/grafo-euleriano/E-43.txt
grafo-euleriano,E-44,44,946.0,instancias/grafo-euleriano/E-44.txt
grafo-euleriano,E-45,45,990.0,instancias/grafo-euleriano/E-45.txt
grafo-euleriano,E-46,46,1035.0,instancias/grafo-euleriano/E-46.txt
grafo-euleriano,E-47,47,1081.0,instancias/grafo-euleriano/E-47.txt
grafo-euleriano,E-48,48,1128.0,instancias/grafo-euleriano/E-48.txt
grafo-euleriano,E-49,49,1176.0,instancias/grafo-euleriano/E-49.txt
grafo-euleriano,E-50,50,1225.0,instancias/grafo-euleriano/E-50.txt
grafo-euleriano,E-51,51,1275.0,instancias/grafo-euleriano/E-51.txt
grafo-euleriano,E-52,52,1326.0,instancias/grafo-euleriano/E-52.txt
grafo-euleriano,E-53,53,1378.0,instancias/grafo-euleriano/E-53.txt
grafo-euleriano,E-54,54,1431.0,instancias/grafo-euleriano/E-54.txt
grafo-euleriano,E-55,55,1485.0,instancias/grafo-euleriano/E-55.txt
grafo-euleriano,E-56,56,1540.0,instancias/grafo-euleriano/E-56.txt
grafo-euleriano,E-57,57,1596.0,instancias/grafo-euleriano/E-57.txt
grafo-euleriano,E-58,58,1653.0,instancias/grafo-euleriano/E-58.txt
grafo-euleriano,E-59,59,1711.0,instancias/grafo-euleriano/E-59.txt
grafo-euleriano,E-60,60,1770.0,instancias/grafo-euleriano/E-60.txt
grafo-euleriano,E-61,61,1830.0,instancias/grafo-euleriano/E-61.txt
grafo-euleriano,E-62,62,1891.0,instancias/grafo-euleriano/E-62.txt
grafo-euleriano,E-63,63,1953.0,instancias/grafo-euleriano/E-63.txt
grafo-euleriano,E-64,64,2016.0,instancias/grafo-euleriano/E-64.txt
grafo-euleriano,E-65,65,2080.0,instancias/grafo-euleriano/E-65.txt
grafo-euleriano,E-66,66,2145.0,instancias/grafo-euleriano/E-66.txt
grafo-euleriano,E-67,67,2211.0,instancias/grafo-euleriano/E-67.txt
grafo-euleriano,E-68,68,2278.0,instancias/grafo-euleriano/E-68.txt
grafo-euleriano,E-69,69,2346.0,instancias/grafo-euleriano/E-69.txt
grafo-euleriano,E-70,70,2415.0,instancias/grafo-euleriano/E-70.txt
grafo-euleriano,E-71,71,2485.0,instancias/grafo-euleriano/E-71.txt
grafo-euleriano,E-72,72,2556.0,instancias/grafo-euleriano/E-72.txt
grafo-euleriano,E-73,73,2628.0,instancias/grafo-euleriano/E-73.txt
grafo-euleriano,E-74,74,2701.0,instancias/grafo-euleriano/E-74.txt
grafo-euleriano,E-75,75,2775.0,instancias/grafo-euleriano/E-75.txt
grafo-euleriano,E-76,76,2850.0,instancias/grafo-euleriano/E-76.txt
grafo-euleriano,E-77,77,2926.0,instancias/grafo-euleriano/E-77.txt
grafo-euleriano,E-78,78,3003.0,instancias/grafo-euleriano/E-78.txt
grafo-euleriano,E-79,79,3081.0,instancias/grafo-euleriano/E-79.txt
grafo-euleriano,E-80,80,3160.0,instancias/grafo-euleriano/E-80.txt
grafo-euleriano,E-81,81,3240.0,instancias/grafo-euleriano/E-81.txt
grafo-euleriano,E-82,82,3321.0,instancias/grafo-euleriano/E-82.txt
grafo-euleriano,E-83,83,3403.0,instancias/grafo-euleriano/E-83.txt
grafo-euleriano,E-84,84,3486.0,instancias/grafo-euleriano/E-84.txt
grafo-euleriano,E-85,85,3570.0,instancias/grafo-euleriano/E-85.txt
grafo-euleriano,E-86,86,3655.0,instancias/grafo-euleriano/E-86.txt
grafo-euleriano,E-87,87,3741.0,instancias/grafo-euleriano/E-87.txt
grafo-euleriano,E-88,88,3828.0,instancias/grafo-euleriano/E-88.txt
grafo-euleriano,E-89,89,3916.0,instancias/grafo-euleriano/E-89.txt
grafo-euleriano,E-90,90,4005.0,instancias/grafo-euleriano/E-90.txt
grafo-euleriano,E-91,91,4095.0,instancias/grafo-euleriano/E-91.txt
grafo-euleriano,E-92,92,4186.0,instancias/grafo-euleriano/E-92.txt
grafo-euleriano,E-93,93,4278.0,instancias/grafo-euleriano/E-93.txt
grafo-euleriano,E-94,94,4371.0,instancias/grafo-euleriano/E-94.txt
grafo-euleriano,E-95,95,4465.0,instancias/grafo-euleriano/E-95.txt
grafo-euleriano,E-96,96,4560.0,instancias/grafo-euleriano/E-96.txt
grafo-euleriano,E-97,97,4656.0,instancias/grafo-euleriano/E-97.txt
grafo-euleriano,E-98,98,4753.0,instancias/grafo-euleriano/E-98.txt
grafo-euleriano,E-99,99,4851.0,instancias/grafo-euleriano/E-99.txt
grafo-euleriano,E-100,100,4950.0,instancias/grafo-euleriano/E-100.txt
grafo-euleriano,E-101,101,5050.0,instancias/grafo-euleriano/E-101.txt
grafo-euleriano,E-102,102,5151.0,instancias/grafo-euleriano/E-102.txt
