33 528
1 2 95
1 3 17
1 4 100
1 5 0
1 6 3
1 7 93
1 8 73
1 9 68
1 10 99
1 11 5
1 12 14
1 13 45
1 14 29
1 15 43
1 16 97
1 17 4
1 18 3
1 19 14
1 20 89
1 21 30
1 22 67
1 23 6
1 24 33
1 25 74
1 26 92
1 27 34
1 28 28
1 29 58
1 30 13
1 31 59
1 32 40
1 33 95
2 3 88
2 4 54
2 5 21
2 6 84
2 7 83
2 8 91
2 9 54
2 10 71
2 11 57
2 12 81
2 13 6
2 14 14
2 15 40
2 16 86
2 17 20
2 18 54
2 19 23
2 20 6
2 21 21
2 22 58
2 23 37
2 24 63
2 25 99
2 26 16
2 27 34
2 28 6
2 29 83
2 30 32
2 31 34
2 32 46
2 33 62
3 4 76
3 5 94
3 6 99
3 7 37
3 8 100
3 9 52
3 10 14
3 11 88
3 12 59
3 13 52
3 14 19
3 15 22
3 16 13
3 17 31
3 18 59
3 19 14
3 20 49
3 21 41
3 22 95
3 23 59
3 24 97
3 25 58
3 26 40
3 27 20
3 28 83
3 29 89
3 30 42
3 31 67
3 32 60
3 33 92
4 5 95
4 6 0
4 7 63
4 8 91
4 9 88
4 10 71
4 11 92
4 12 36
4 13 41
4 14 42
4 15 0
4 16 79
4 17 34
4 18 64
4 19 58
4 20 87
4 21 97
4 22 53
4 23 95
4 24 55
4 25 16
4 26 3
4 27 66
4 28 36
4 29 98
4 30 15
4 31 100
4 32 51
4 33 44
5 6 65
5 7 76
5 8 54
5 9 36
5 10 48
5 11 84
5 12 45
5 13 30
5 14 80
5 15 0
5 16 72
5 17 20
5 18 13
5 19 74
5 20 43
5 21 70
5 22 8
5 23 17
5 24 79
5 25 30
5 26 71
5 27 20
5 28 11
5 29 27
5 30 26
5 31 24
5 32 14
5 33 20
6 7 1
6 8 2
6 9 86
6 10 18
6 11 9
6 12 95
6 13 47
6 14 87
6 15 27
6 16 54
6 17 77
6 18 68
6 19 52
6 20 71
6 21 43
6 22 70
6 23 86
6 24 99
6 25 95
6 26 25
6 27 84
6 28 11
6 29 17
6 30 78
6 31 92
6 32 90
6 33 21
7 8 89
7 9 2
7 10 95
7 11 46
7 12 87
7 13 88
7 14 69
7 15 69
7 16 3
7 17 95
7 18 42
7 19 59
7 20 96
7 21 91
7 22 89
7 23 36
7 24 73
7 25 5
7 26 95
7 27 32
7 28 19
7 29 60
7 30 100
7 31 36
7 32 45
7 33 89
8 9 55
8 10 22
8 11 0
8 12 76
8 13 53
8 14 53
8 15 78
8 16 73
8 17 79
8 18 41
8 19 48
8 20 37
8 21 48
8 22 8
8 23 68
8 24 98
8 25 87
8 26 96
8 27 1
8 28 12
8 29 70
8 30 81
8 31 57
8 32 60
8 33 95
9 10 70
9 11 44
9 12 97
9 13 95
9 14 55
9 15 24
9 16 91
9 17 33
9 18 80
9 19 0
9 20 39
9 21 74
9 22 5
9 23 19
9 24 47
9 25 44
9 26 29
9 27 53
9 28 97
9 29 76
9 30 76
9 31 57
9 32 12
9 33 57
10 11 38
10 12 83
10 13 41
10 14 44
10 15 37
10 16 79
10 17 21
10 18 38
10 19 49
10 20 73
10 21 56
10 22 8
10 23 94
10 24 15
10 25 14
10 26 91
10 27 79
10 28 80
10 29 34
10 30 65
10 31 39
10 32 90
10 33 0
11 12 43
11 13 23
11 14 100
11 15 99
11 16 20
11 17 18
11 18 0
11 19 34
11 20 9
11 21 28
11 22 51
11 23 79
11 24 18
11 25 97
11 26 97
11 27 90
11 28 81
11 29 51
11 30 17
11 31 34
11 32 85
11 33 58
12 13 60
12 14 17
12 15 39
12 16 25
12 17 66
12 18 75
12 19 47
12 20 42
12 21 74
12 22 35
12 23 67
12 24 7
12 25 91
12 26 23
12 27 36
12 28 69
12 29 38
12 30 94
12 31 36
12 32 11
12 33 7
13 14 71
13 15 94
13 16 13
13 17 0
13 18 65
13 19 3
13 20 62
13 21 50
13 22 73
13 23 41
13 24 37
13 25 39
13 26 88
13 27 61
13 28 90
13 29 54
13 30 55
13 31 25
13 32 57
13 33 4
14 15 10
14 16 38
14 17 51
14 18 66
14 19 35
14 20 59
14 21 5
14 22 10
14 23 6
14 24 96
14 25 14
14 26 10
14 27 21
14 28 10
14 29 91
14 30 36
14 31 16
14 32 91
14 33 67
15 16 41
15 17 86
15 18 60
15 19 0
15 20 86
15 21 20
15 22 17
15 23 59
15 24 27
15 25 68
15 26 43
15 27 49
15 28 8
15 29 51
15 30 22
15 31 97
15 32 42
15 33 4
16 17 36
16 18 80
16 19 52
16 20 5
16 21 36
16 22 79
16 23 14
16 24 55
16 25 37
16 26 22
16 27 26
16 28 92
16 29 17
16 30 82
16 31 99
16 32 90
16 33 40
17 18 77
17 19 63
17 20 20
17 21 100
17 22 70
17 23 28
17 24 100
17 25 51
17 26 42
17 27 31
17 28 26
17 29 88
17 30 53
17 31 32
17 32 39
17 33 3
18 19 52
18 20 11
18 21 71
18 22 40
18 23 47
18 24 98
18 25 83
18 26 33
18 27 29
18 28 77
18 29 48
18 30 48
18 31 3
18 32 54
18 33 35
19 20 70
19 21 4
19 22 71
19 23 13
19 24 21
19 25 4
19 26 24
19 27 6
19 28 0
19 29 17
19 30 47
19 31 59
19 32 96
19 33 99
20 21 79
20 22 47
20 23 8
20 24 24
20 25 50
20 26 97
20 27 72
20 28 82
20 29 92
20 30 25
20 31 50
20 32 31
20 33 48
21 22 8
21 23 61
21 24 92
21 25 29
21 26 37
21 27 42
21 28 71
21 29 50
21 30 2
21 31 78
21 32 55
21 33 70
22 23 69
22 24 40
22 25 21
22 26 71
22 27 55
22 28 73
22 29 58
22 30 81
22 31 64
22 32 13
22 33 48
23 24 7
23 25 37
