dataset,instancia,n,m,archivo
peor-caso-agm,AGM-3,3,3.0,instancias/peor-caso-agm/AGM-3.txt
peor-caso-agm,AGM-4,4,6.0,instancias/peor-caso-agm/AGM-4.txt
peor-caso-agm,AGM-5,5,10.0,instancias/peor-caso-agm/AGM-5.txt
peor-caso-agm,AGM-6,6,15.0,instancias/peor-caso-agm/AGM-6.txt
peor-caso-agm,AGM-7,7,21.0,instancias/peor-caso-agm/AGM-7.txt
peor-caso-agm,AGM-8,8,28.0,instancias/peor-caso-agm/AGM-8.txt
peor-caso-agm,AGM-9,9,36.0,instancias/peor-caso-agm/AGM-9.txt
peor-caso-agm,AGM-10,10,45.0,instancias/peor-caso-agm/AGM-10.txt
peor-caso-agm,AGM-11,11,55.0,instancias/peor-caso-agm/AGM-11.txt
peor-caso-agm,AGM-12,12,66.0,instancias/peor-caso-agm/AGM-12.txt
peor-caso-agm,AGM-13,13,78.0,instancias/peor-caso-agm/AGM-13.txt
peor-caso-agm,AGM-14,14,91.0,instancias/peor-caso-agm/AGM-14.txt
peor-caso-agm,AGM-15,15,105.0,instancias/peor-caso-agm/AGM-15.txt
peor-caso-agm,AGM-16,16,120.0,instancias/peor-caso-agm/AGM-16.txt
peor-caso-agm,AGM-17,17,136.0,instancias/peor-caso-agm/AGM-17.txt
peor-caso-agm,AGM-18,18,153.0,instancias/peor-caso-agm/AGM-18.txt
peor-caso-agm,AGM-19,19,171.0,instancias/peor-caso-agm/AGM-19.txt
peor-caso-agm,AGM-20,20,190.0,instancias/peor-caso-agm/AGM-20.txt
peor-caso-agm,AGM-21,21,210.0,instancias/peor-caso-agm/AGM-21.txt
peor-caso-agm,AGM-22,22,231.0,instancias/peor-caso-agm/AGM-22.txt
peor-caso-agm,AGM-23,23,253.0,instancias/peor-caso-agm/AGM-23.txt
peor-caso-agm,AGM-24,24,276.0,instancias/peor-caso-agm/AGM-24.txt
peor-caso-agm,AGM-25,25,300.0,instancias/peor-caso-agm/AGM-25.txt
peor-caso-agm,AGM-26,26,325.0,instancias/peor-caso-agm/AGM-26.txt
peor-caso-agm,AGM-27,27,351.0,instancias/peor-caso-agm/AGM-27.txt
peor-caso-agm,AGM-28,28,378.0,instancias/peor-caso-agm/AGM-28.txt
peor-caso-agm,AGM-29,29,406.0,instancias/peor-caso-agm/AGM-29.txt
peor-caso-agm,AGM-30,30,435.0,instancias/peor-caso-agm/AGM-30.txt
peor-caso-agm,AGM-31,31,465.0,instancias/peor-caso-agm/AGM-31.txt
peor-caso-agm,AGM-32,32,496.0,instancias/peor-caso-agm/AGM-32.txt
peor-caso-agm,AGM-33,33,528.0,instancias/peor-caso-agm/AGM-33.txt
peor-caso-agm,AGM-34,34,561.0,instancias/peor-caso-agm/AGM-34.txt
peor-caso-agm,AGM-35,35,595.0,instancias/peor-caso-agm/AGM-35.txt
peor-caso-agm,AGM-36,36,630.0,instancias/peor-caso-agm/AGM-36.txt
peor-caso-agm,AGM-37,37,666.0,instancias/peor-caso-agm/AGM-37.txt
peor-caso-agm,AGM-38,38,703.0,instancias/peor-caso-agm/AGM-38.txt
peor-caso-agm,AGM-39,39,741.0,instancias/peor-caso-agm/AGM-39.txt
peor-caso-agm,AGM-40,40,780.0,instancias/peor-caso-agm/AGM-40.txt
peor-caso-agm,AGM-41,41,820.0,instancias/peor-caso-agm/AGM-41.txt
peor-caso-agm,AGM-42,42,861.0,instancias/peor-caso-agm/AGM-42.txt
peor-caso-agm,AGM-43,43,903.0,instancias/peor-caso-agm/AGM-43.txt
peor-caso-agm,AGM-44,44,946.0,instancias/peor-caso-agm/AGM-44.txt
peor-caso-agm,AGM-45,45,990.0,instancias/peor-caso-agm/AGM-45.txt
peor-caso-agm,AGM-46,46,1035.0,instancias/peor-caso-agm/AGM-46.txt
peor-caso-agm,AGM-47,47,1081.0,instancias/peor-caso-agm/AGM-47.txt
peor-caso-agm,AGM-48,48,1128.0,instancias/peor-caso-agm/AGM-48.txt
peor-caso-agm,AGM-49,49,1176.0,instancias/peor-caso-agm/AGM-49.txt
peor-caso-agm,AGM-50,50,1225.0,instancias/peor-caso-agm/AGM-50.txt
peor-caso-agm,AGM-51,51,1275.0,instancias/peor-caso-agm/AGM-51.txt
peor-caso-agm,AGM-52,52,1326.0,instancias/peor-caso-agm/AGM-52.txt
peor-caso-agm,AGM-53,53,1378.0,instancias/peor-caso-agm/AGM-53.txt
peor-caso-agm,AGM-54,54,1431.0,instancias/peor-caso-agm/AGM-54.txt
peor-caso-agm,AGM-55,55,1485.0,instancias/peor-caso-agm/AGM-55.txt
peor-caso-agm,AGM-56,56,1540.0,instancias/peor-caso-agm/AGM-56.txt
peor-caso-agm,AGM-57,57,1596.0,instancias/peor-caso-agm/AGM-57.txt
peor-caso-agm,AGM-58,58,1653.0,instancias/peor-caso-agm/AGM-58.txt
peor-caso-agm,AGM-59,59,1711.0,instancias/peor-caso-agm/AGM-59.txt
peor-caso-agm,AGM-60,60,1770.0,instancias/peor-caso-agm/AGM-60.txt
peor-caso-agm,AGM-61,61,1830.0,instancias/peor-caso-agm/AGM-61.txt
peor-caso-agm,AGM-62,62,1891.0,instancias/peor-caso-agm/AGM-62.txt
peor-caso-agm,AGM-63,63,1953.0,instancias/peor-caso-agm/AGM-63.txt
peor-caso-agm,AGM-64,64,2016.0,instancias/peor-caso-agm/AGM-64.txt
peor-caso-agm,AGM-65,65,2080.0,instancias/peor-caso-agm/AGM-65.txt
peor-caso-agm,AGM-66,66,2145.0,instancias/peor-caso-agm/AGM-66.txt
peor-caso-agm,AGM-67,67,2211.0,instancias/peor-caso-agm/AGM-67.txt
peor-caso-agm,AGM-68,68,2278.0,instancias/peor-caso-agm/AGM-68.txt
peor-caso-agm,AGM-69,69,2346.0,instancias/peor-caso-agm/AGM-69.txt
peor-caso-agm,AGM-70,70,2415.0,instancias/peor-caso-agm/AGM-70.txt
peor-caso-agm,AGM-71,71,2485.0,instancias/peor-caso-agm/AGM-71.txt
peor-caso-agm,AGM-72,72,2556.0,instancias/peor-caso-agm/AGM-72.txt
peor-caso-agm,AGM-73,73,2628.0,instancias/peor-caso-agm/AGM-73.txt
peor-caso-agm,AGM-74,74,2701.0,instancias/peor-caso-agm/AGM-74.txt
peor-caso-agm,AGM-75,75,2775.0,instancias/peor-caso-agm/AGM-75.txt
peor-caso-agm,AGM-76,76,2850.0,instancias/peor-caso-agm/AGM-76.txt
peor-caso-agm,AGM-77,77,2926.0,instancias/peor-caso-agm/AGM-77.txt
peor-caso-agm,AGM-78,78,3003.0,instancias/peor-caso-agm/AGM-78.txt
peor-caso-agm,AGM-79,79,3081.0,instancias/peor-caso-agm/AGM-79.txt
peor-caso-agm,AGM-80,80,3160.0,instancias/peor-caso-agm/AGM-80.txt
peor-caso-agm,AGM-81,81,3240.0,instancias/peor-caso-agm/AGM-81.txt
peor-caso-agm,AGM-82,82,3321.0,instancias/peor-caso-agm/AGM-82.txt
peor-caso-agm,AGM-83,83,3403.0,instancias/peor-caso-agm/AGM-83.txt
peor-caso-agm,AGM-84,84,3486.0,instancias/peor-caso-agm/AGM-84.txt
peor-caso-agm,AGM-85,85,3570.0,instancias/peor-caso-agm/AGM-85.txt
peor-caso-agm,AGM-86,86,3655.0,instancias/peor-caso-agm/AGM-86.txt
peor-caso-agm,AGM-87,87,3741.0,instancias/peor-caso-agm/AGM-87.txt
peor-caso-agm,AGM-88,88,3828.0,instancias/peor-caso-agm/AGM-88.txt
peor-caso-agm,AGM-89,89,3916.0,instancias/peor-caso-agm/AGM-89.txt
peor-caso-agm,AGM-90,90,4005.0,instancias/peor-caso-agm/AGM-90.txt
peor-caso-agm,AGM-91,91,4095.0,instancias/peor-caso-agm/AGM-91.txt
peor-caso-agm,AGM-92,92,4186.0,instancias/peor-caso-agm/AGM-92.txt
peor-caso-agm,AGM-93,93,4278.0,instancias/peor-caso-agm/AGM-93.txt
