dataset,instancia,n,m,archivo
peor-caso-ga,G-3,3,3.0,instancias/peor-caso-ga/G-3.txt
peor-caso-ga,G-4,4,6.0,instancias/peor-caso-ga/G-4.txt
peor-caso-ga,G-5,5,10.0,instancias/peor-caso-ga/G-5.txt
peor-caso-ga,G-6,6,15.0,instancias/peor-caso-ga/G-6.txt
peor-caso-ga,G-7,7,21.0,instancias/peor-caso-ga/G-7.txt
peor-caso-ga,G-8,8,28.0,instancias/peor-caso-ga/G-8.txt
peor-caso-ga,G-9,9,36.0,instancias/peor-caso-ga/G-9.txt
peor-caso-ga,G-10,10,45.0,instancias/peor-caso-ga/G-10.txt
peor-caso-ga,G-11,11,55.0,instancias/peor-caso-ga/G-11.txt
peor-caso-ga,G-12,12,66.0,instancias/peor-caso-ga/G-12.txt
peor-caso-ga,G-13,13,78.0,instancias/peor-caso-ga/G-13.txt
peor-caso-ga,G-14,14,91.0,instancias/peor-caso-ga/G-14.txt
peor-caso-ga,G-15,15,105.0,instancias/peor-caso-ga/G-15.txt
peor-caso-ga,G-16,16,120.0,instancias/peor-caso-ga/G-16.txt
peor-caso-ga,G-17,17,136.0,instancias/peor-caso-ga/G-17.txt
peor-caso-ga,G-18,18,153.0,instancias/peor-caso-ga/G-18.txt
peor-caso-ga,G-19,19,171.0,instancias/peor-caso-ga/G-19.txt
peor-caso-ga,G-20,20,190.0,instancias/peor-caso-ga/G-20.txt
peor-caso-ga,G-21,21,210.0,instancias/peor-caso-ga/G-21.txt
peor-caso-ga,G-22,22,231.0,instancias/peor-caso-ga/G-22.txt
peor-caso-ga,G-23,23,253.0,instancias/peor-caso-ga/G-23.txt
peor-caso-ga,G-24,24,276.0,instancias/peor-caso-ga/G-24.txt
peor-caso-ga,G-25,25,300.0,instancias/peor-caso-ga/G-25.txt
peor-caso-ga,G-26,26,325.0,instancias/peor-caso-ga/G-26.txt
peor-caso-ga,G-27,27,351.0,instancias/peor-caso-ga/G-27.txt
peor-caso-ga,G-28,28,378.0,instancias/peor-caso-ga/G-28.txt
peor-caso-ga,G-29,29,406.0,instancias/peor-caso-ga/G-29.txt
peor-caso-ga,G-30,30,435.0,instancias/peor-caso-ga/G-30.txt
peor-caso-ga,G-31,31,465.0,instancias/peor-caso-ga/G-31.txt
peor-caso-ga,G-32,32,496.0,instancias/peor-caso-ga/G-32.txt
peor-caso-ga,G-33,33,528.0,instancias/peor-caso-ga/G-33.txt
peor-caso-ga,G-34,34,561.0,instancias/peor-caso-ga/G-34.txt
peor-caso-ga,G-35,35,595.0,instancias/peor-caso-ga/G-35.txt
peor-caso-ga,G-36,36,630.0,instancias/peor-caso-ga/G-36.txt
peor-caso-ga,G-37,37,666.0,instancias/peor-caso-ga/G-37.txt
peor-caso-ga,G-38,38,703.0,instancias/peor-caso-ga/G-38.txt
peor-caso-ga,G-39,39,741.0,instancias/peor-caso-ga/G-39.txt
peor-caso-ga,G-40,40,780.0,instancias/peor-caso-ga/G-40.txt
peor-caso-ga,G-41,41,820.0,instancias/peor-caso-ga/G-41.txt
peor-caso-ga,G-42,42,861.0,instancias/peor-caso-ga/G-42.txt
peor-caso-ga,G-43,43,903.0,instancias/peor-caso-ga/G-43.txt
peor-caso-ga,G-44,44,946.0,instancias/peor-caso-ga/G-44.txt
peor-caso-ga,G-45,45,990.0,instancias/peor-caso-ga/G-45.txt
peor-caso-ga,G-46,46,1035.0,instancias/peor-caso-ga/G-46.txt
peor-caso-ga,G-47,47,1081.0,instancias/peor-caso-ga/G-47.txt
peor-caso-ga,G-48,48,1128.0,instancias/peor-caso-ga/G-48.txt
peor-caso-ga,G-49,49,1176.0,instancias/peor-caso-ga/G-49.txt
peor-caso-ga,G-50,50,1225.0,instancias/peor-caso-ga/G-50.txt
peor-caso-ga,G-51,51,1275.0,instancias/peor-caso-ga/G-51.txt
peor-caso-ga,G-52,52,1326.0,instancias/peor-caso-ga/G-52.txt
peor-caso-ga,G-53,53,1378.0,instancias/peor-caso-ga/G-53.txt
peor-caso-ga,G-54,54,1431.0,instancias/peor-caso-ga/G-54.txt
peor-caso-ga,G-55,55,1485.0,instancias/peor-caso-ga/G-55.txt
peor-caso-ga,G-56,56,1540.0,instancias/peor-caso-ga/G-56.txt
peor-caso-ga,G-57,57,1596.0,instancias/peor-caso-ga/G-57.txt
peor-caso-ga,G-58,58,1653.0,instancias/peor-caso-ga/G-58.txt
peor-caso-ga,G-59,59,1711.0,instancias/peor-caso-ga/G-59.txt
peor-caso-ga,G-60,60,1770.0,instancias/peor-caso-ga/G-60.txt
peor-caso-ga,G-61,61,1830.0,instancias/peor-caso-ga/G-61.txt
peor-caso-ga,G-62,62,1891.0,instancias/peor-caso-ga/G-62.txt
peor-caso-ga,G-63,63,1953.0,instancias/peor-caso-ga/G-63.txt
peor-caso-ga,G-64,64,2016.0,instancias/peor-caso-ga/G-64.txt
peor-caso-ga,G-65,65,2080.0,instancias/peor-caso-ga/G-65.txt
peor-caso-ga,G-66,66,2145.0,instancias/peor-caso-ga/G-66.txt
peor-caso-ga,G-67,67,2211.0,instancias/peor-caso-ga/G-67.txt
peor-caso-ga,G-68,68,2278.0,instancias/peor-caso-ga/G-68.txt
peor-caso-ga,G-69,69,2346.0,instancias/peor-caso-ga/G-69.txt
peor-caso-ga,G-70,70,2415.0,instancias/peor-caso-ga/G-70.txt
peor-caso-ga,G-71,71,2485.0,instancias/peor-caso-ga/G-71.txt
peor-caso-ga,G-72,72,2556.0,instancias/peor-caso-ga/G-72.txt
peor-caso-ga,G-73,73,2628.0,instancias/peor-caso-ga/G-73.txt
peor-caso-ga,G-74,74,2701.0,instancias/peor-caso-ga/G-74.txt
peor-caso-ga,G-75,75,2775.0,instancias/peor-caso-ga/G-75.txt
peor-caso-ga,G-76,76,2850.0,instancias/peor-caso-ga/G-76.txt
peor-caso-ga,G-77,77,2926.0,instancias/peor-caso-ga/G-77.txt
peor-caso-ga,G-78,78,3003.0,instancias/peor-caso-ga/G-78.txt
peor-caso-ga,G-79,79,3081.0,instancias/peor-caso-ga/G-79.txt
peor-caso-ga,G-80,80,3160.0,instancias/peor-caso-ga/G-80.txt
peor-caso-ga,G-81,81,3240.0,instancias/peor-caso-ga/G-81.txt
peor-caso-ga,G-82,82,3321.0,instancias/peor-caso-ga/G-82.txt
peor-caso-ga,G-83,83,3403.0,instancias/peor-caso-ga/G-83.txt
peor-caso-ga,G-84,84,3486.0,instancias/peor-caso-ga/G-84.txt
peor-caso-ga,G-85,85,3570.0,instancias/peor-caso-ga/G-85.txt
peor-caso-ga,G-86,86,3655.0,instancias/peor-caso-ga/G-86.txt
peor-caso-ga,G-87,87,3741.0,instancias/peor-caso-ga/G-87.txt
