dataset,n,m,metodo,tiempo,costo
grafo-propio,3,3.0,ins,0.0045198,76
grafo-propio,4,6.0,ins,0.018220000000000004,161
grafo-propio,5,10.0,ins,0.0080266,206
grafo-propio,6,15.0,ins,0.0071802,99
grafo-propio,7,21.0,ins,0.0101586,112
grafo-propio,8,28.0,ins,0.0118716,304
grafo-propio,9,36.0,ins,0.0140364,299
grafo-propio,10,45.0,ins,0.016796,364
grafo-propio,11,55.0,ins,0.021092999999999997,610
grafo-propio,12,66.0,ins,0.0160734,459
grafo-propio,13,78.0,ins,0.018395599999999998,595
grafo-propio,14,91.0,ins,0.02696,456
grafo-propio,15,105.0,ins,0.034910000000000004,438
grafo-propio,16,120.0,ins,0.025163,302
grafo-propio,17,136.0,ins,0.025400600000000002,670
grafo-propio,18,153.0,ins,0.034865,983
grafo-propio,19,171.0,ins,0.045070000000000006,629
grafo-propio,20,190.0,ins,0.0411672,343
grafo-propio,21,210.0,ins,0.050861199999999995,772
grafo-propio,22,231.0,ins,0.045844800000000005,575
grafo-propio,23,253.0,ins,0.0473572,943
grafo-propio,24,276.0,ins,0.048849,1336
grafo-propio,25,300.0,ins,0.06167600000000001,1399
grafo-propio,26,325.0,ins,0.0711994,582
grafo-propio,27,351.0,ins,0.07350799999999999,770
grafo-propio,28,378.0,ins,0.05878279999999999,750
grafo-propio,29,406.0,ins,0.0777034,1328
grafo-propio,30,435.0,ins,0.0803398,1431
grafo-propio,31,465.0,ins,0.0846624,1517
grafo-propio,32,496.0,ins,0.10562780000000001,1526
grafo-propio,33,528.0,ins,0.08996660000000001,2011
grafo-propio,34,561.0,ins,0.0790938,1173
grafo-propio,35,595.0,ins,0.1324368,1520
grafo-propio,36,630.0,ins,0.12287300000000001,1477
grafo-propio,37,666.0,ins,0.1484462,1218
grafo-propio,38,703.0,ins,0.1615248,784
grafo-propio,39,741.0,ins,0.3884414,1774
grafo-propio,40,780.0,ins,0.1493762,1056
grafo-propio,41,820.0,ins,0.17828399999999997,1897
grafo-propio,42,861.0,ins,0.214139,1473
grafo-propio,43,903.0,ins,0.2396664,2126
grafo-propio,44,946.0,ins,0.22637659999999998,2091
grafo-propio,45,990.0,ins,0.1630586,1837
grafo-propio,46,1035.0,ins,0.1764402,2336
grafo-propio,47,1081.0,ins,0.20622639999999998,1986
grafo-propio,48,1128.0,ins,0.1677208,815
grafo-propio,49,1176.0,ins,0.21364999999999998,1101
grafo-propio,50,1225.0,ins,0.2420048,1635
grafo-propio,51,1275.0,ins,0.28325659999999997,2134
grafo-propio,52,1326.0,ins,0.2701718,1510
grafo-propio,53,1378.0,ins,0.2251418,2062
grafo-propio,54,1431.0,ins,0.2666304,2002
grafo-propio,55,1485.0,ins,0.307816,2068
grafo-propio,56,1540.0,ins,0.353908,2269
grafo-propio,57,1596.0,ins,0.3470402,2222
grafo-propio,58,1653.0,ins,0.3996024,3068
grafo-propio,59,1711.0,ins,0.328507,2792
grafo-propio,60,1770.0,ins,0.3792186000000001,2607
grafo-propio,61,1830.0,ins,0.40245699999999995,2633
grafo-propio,62,1891.0,ins,0.4187938000000001,3185
grafo-propio,63,1953.0,ins,0.4924296,2782
grafo-propio,64,2016.0,ins,0.5177674,2994
grafo-propio,65,2080.0,ins,0.6558438000000001,3143
grafo-propio,66,2145.0,ins,0.5128994,2991
grafo-propio,67,2211.0,ins,0.52652,3591
grafo-propio,68,2278.0,ins,0.6907452,3470
grafo-propio,69,2346.0,ins,0.5296122000000001,3012
grafo-propio,70,2415.0,ins,0.5460886,3473
grafo-propio,71,2485.0,ins,0.7534440000000001,1391
grafo-propio,72,2556.0,ins,0.6280159999999999,3232
grafo-propio,73,2628.0,ins,0.7247006,4196
grafo-propio,74,2701.0,ins,0.673428,2845
grafo-propio,75,2775.0,ins,0.6200962000000001,2978
grafo-propio,76,2850.0,ins,0.6083073999999999,3283
grafo-propio,77,2926.0,ins,0.68458,3513
grafo-propio,78,3003.0,ins,0.570733,3709
grafo-propio,79,3081.0,ins,0.7527507999999999,3454
grafo-propio,80,3160.0,ins,0.708083,3513
grafo-propio,81,3240.0,ins,0.7606754,4106
grafo-propio,82,3321.0,ins,1.454488,2637
grafo-propio,83,3403.0,ins,1.08501,2724
grafo-propio,84,3486.0,ins,1.0457796,3015
grafo-propio,85,3570.0,ins,0.8711368,4616
grafo-propio,86,3655.0,ins,0.721175,3586
grafo-propio,87,3741.0,ins,0.8111938000000001,3255
grafo-propio,88,3828.0,ins,0.7211806,4008
grafo-propio,89,3916.0,ins,0.982076,5250
grafo-propio,90,4005.0,ins,0.9063424,4967
grafo-propio,91,4095.0,ins,1.0868946000000002,3130
grafo-propio,92,4186.0,ins,1.405278,4523
grafo-propio,93,4278.0,ins,0.9288552000000001,4223
grafo-propio,94,4371.0,ins,1.3729886,4985
grafo-propio,95,4465.0,ins,1.504292,4370
grafo-propio,96,4560.0,ins,1.9129930000000002,4390
grafo-propio,97,4656.0,ins,1.5167226,4356
grafo-propio,98,4753.0,ins,1.621968,4336
grafo-propio,99,4851.0,ins,1.415832,4575
grafo-propio,100,4950.0,ins,1.1573639999999998,3457
grafo-propio,101,5050.0,ins,1.074076,4875
grafo-propio,102,5151.0,ins,1.1200480000000002,4982
