dataset,n,m,metodo,tiempo,costo
peor-caso-agm,3,3.0,ins,0.0029059999999999997,196
peor-caso-agm,3,3.0,agm,0.008398599999999999,196
peor-caso-agm,3,3.0,GA,0.0088512,196
peor-caso-agm,3,3.0,TABU_CICLOS,0.8738118,196
peor-caso-agm,3,3.0,TABU_ESTRUCTURA,0.8097215999999999,196
peor-caso-agm,4,6.0,ins,0.0048584000000000006,227
peor-caso-agm,4,6.0,agm,0.007638799999999999,351
peor-caso-agm,4,6.0,GA,0.0133278,227
peor-caso-agm,4,6.0,TABU_CICLOS,2.01317,227
peor-caso-agm,4,6.0,TABU_ESTRUCTURA,1.9506640000000002,227
peor-caso-agm,5,10.0,ins,0.0053690000000000005,123
peor-caso-agm,5,10.0,agm,0.009503000000000001,472
peor-caso-agm,5,10.0,GA,0.0150446,254
peor-caso-agm,5,10.0,TABU_CICLOS,3.5432100000000006,123
peor-caso-agm,5,10.0,TABU_ESTRUCTURA,3.3277900000000002,123
peor-caso-agm,6,15.0,ins,0.0059168,273
peor-caso-agm,6,15.0,agm,0.009059399999999999,739
peor-caso-agm,6,15.0,GA,0.019531,370
peor-caso-agm,6,15.0,TABU_CICLOS,5.322628,241
peor-caso-agm,6,15.0,TABU_ESTRUCTURA,5.592098,241
peor-caso-agm,7,21.0,ins,0.006379399999999999,258
peor-caso-agm,7,21.0,agm,0.0112776,896
peor-caso-agm,7,21.0,GA,0.0270548,364
peor-caso-agm,7,21.0,TABU_CICLOS,7.867026,217
peor-caso-agm,7,21.0,TABU_ESTRUCTURA,7.4565860000000015,217
peor-caso-agm,8,28.0,ins,0.007555400000000001,21
peor-caso-agm,8,28.0,agm,0.016019000000000002,1021
peor-caso-agm,8,28.0,GA,0.0350258,322
peor-caso-agm,8,28.0,TABU_CICLOS,10.311694,212
peor-caso-agm,8,28.0,TABU_ESTRUCTURA,7.85698,212
peor-caso-agm,9,36.0,ins,0.0071608,248
peor-caso-agm,9,36.0,agm,0.0178744,1227
peor-caso-agm,9,36.0,GA,0.040287,346
peor-caso-agm,9,36.0,TABU_CICLOS,12.72324,255
peor-caso-agm,9,36.0,TABU_ESTRUCTURA,12.3773,255
peor-caso-agm,10,45.0,ins,0.0112976,186
peor-caso-agm,10,45.0,agm,0.019623,1340
peor-caso-agm,10,45.0,GA,0.0488736,371
peor-caso-agm,10,45.0,TABU_CICLOS,13.574519999999998,348
peor-caso-agm,10,45.0,TABU_ESTRUCTURA,13.26422,348
peor-caso-agm,11,55.0,ins,0.0102324,575
peor-caso-agm,11,55.0,agm,0.0235552,1527
peor-caso-agm,11,55.0,GA,0.07822140000000001,447
peor-caso-agm,11,55.0,TABU_CICLOS,16.72912,308
peor-caso-agm,11,55.0,TABU_ESTRUCTURA,17.63906,308
peor-caso-agm,12,66.0,ins,0.0112464,685
peor-caso-agm,12,66.0,agm,0.0280356,1736
peor-caso-agm,12,66.0,GA,0.0853362,438
peor-caso-agm,12,66.0,TABU_CICLOS,21.5063,346
peor-caso-agm,12,66.0,TABU_ESTRUCTURA,19.66438,374
peor-caso-agm,13,78.0,ins,0.012674,189
peor-caso-agm,13,78.0,agm,0.038212,1905
peor-caso-agm,13,78.0,GA,0.10943019999999999,430
peor-caso-agm,13,78.0,TABU_CICLOS,24.10296,329
peor-caso-agm,13,78.0,TABU_ESTRUCTURA,22.505439999999997,329
peor-caso-agm,14,91.0,ins,0.0122638,311
peor-caso-agm,14,91.0,agm,0.0397734,2089
peor-caso-agm,14,91.0,GA,0.1150506,401
peor-caso-agm,14,91.0,TABU_CICLOS,26.534399999999998,350
peor-caso-agm,14,91.0,TABU_ESTRUCTURA,26.269420000000004,356
peor-caso-agm,15,105.0,ins,0.0126338,619
peor-caso-agm,15,105.0,agm,0.059665199999999995,2350
peor-caso-agm,15,105.0,GA,0.1040616,603
peor-caso-agm,15,105.0,TABU_CICLOS,29.97036,439
peor-caso-agm,15,105.0,TABU_ESTRUCTURA,30.39688,439
peor-caso-agm,16,120.0,ins,0.015406000000000003,433
peor-caso-agm,16,120.0,agm,0.0634952,2582
peor-caso-agm,16,120.0,GA,0.16675,546
peor-caso-agm,16,120.0,TABU_CICLOS,34.55702,429
peor-caso-agm,16,120.0,TABU_ESTRUCTURA,33.34612,429
peor-caso-agm,17,136.0,ins,0.018443599999999997,683
peor-caso-agm,17,136.0,agm,0.0802704,2564
peor-caso-agm,17,136.0,GA,0.1915644,537
peor-caso-agm,17,136.0,TABU_CICLOS,40.87446,469
peor-caso-agm,17,136.0,TABU_ESTRUCTURA,38.58991999999999,469
peor-caso-agm,18,153.0,ins,0.0219788,199
peor-caso-agm,18,153.0,agm,0.1022362,2867
peor-caso-agm,18,153.0,GA,0.1696166,691
peor-caso-agm,18,153.0,TABU_CICLOS,44.67156,453
peor-caso-agm,18,153.0,TABU_ESTRUCTURA,43.521139999999995,453
peor-caso-agm,19,171.0,ins,0.0234178,147
peor-caso-agm,19,171.0,agm,0.12124859999999997,2960
peor-caso-agm,19,171.0,GA,0.17153900000000002,636
peor-caso-agm,19,171.0,TABU_CICLOS,48.07034,514
peor-caso-agm,19,171.0,TABU_ESTRUCTURA,47.68726,524
peor-caso-agm,20,190.0,ins,0.0196476,516
peor-caso-agm,20,190.0,agm,0.1207268,3124
peor-caso-agm,20,190.0,GA,0.17553860000000002,586
peor-caso-agm,20,190.0,TABU_CICLOS,54.58846,458
peor-caso-agm,20,190.0,TABU_ESTRUCTURA,52.72864,456
peor-caso-agm,21,210.0,ins,0.028865399999999996,611
peor-caso-agm,21,210.0,agm,0.1488726,3302
peor-caso-agm,21,210.0,GA,0.2331512,765
peor-caso-agm,21,210.0,TABU_CICLOS,60.77532,540
peor-caso-agm,21,210.0,TABU_ESTRUCTURA,57.157920000000004,570
peor-caso-agm,22,231.0,ins,0.034804,84
peor-caso-agm,22,231.0,agm,0.17271180000000003,3483
peor-caso-agm,22,231.0,GA,0.2511182,617
peor-caso-agm,22,231.0,TABU_CICLOS,64.38472,547
peor-caso-agm,22,231.0,TABU_ESTRUCTURA,63.48644,566
peor-caso-agm,23,253.0,ins,0.038501,397
peor-caso-agm,23,253.0,agm,0.22426759999999998,3732
peor-caso-agm,23,253.0,GA,0.2731388,685
peor-caso-agm,23,253.0,TABU_CICLOS,69.75688,596
peor-caso-agm,23,253.0,TABU_ESTRUCTURA,67.73769999999999,588
peor-caso-agm,24,276.0,ins,0.0389008,1018
peor-caso-agm,24,276.0,agm,0.26002919999999996,3827
peor-caso-agm,24,276.0,GA,0.3555726,630
peor-caso-agm,24,276.0,TABU_CICLOS,75.4632,564
peor-caso-agm,24,276.0,TABU_ESTRUCTURA,73.46164,564
peor-caso-agm,25,300.0,ins,0.0397818,419
peor-caso-agm,25,300.0,agm,0.2680052,3943
peor-caso-agm,25,300.0,GA,0.4513678,676
peor-caso-agm,25,300.0,TABU_CICLOS,81.68581999999999,622
peor-caso-agm,25,300.0,TABU_ESTRUCTURA,79.99476,622
peor-caso-agm,26,325.0,ins,0.036407,970
peor-caso-agm,26,325.0,agm,0.3034276,4150
peor-caso-agm,26,325.0,GA,0.36591959999999996,650
peor-caso-agm,26,325.0,TABU_CICLOS,89.98552000000001,583
peor-caso-agm,26,325.0,TABU_ESTRUCTURA,85.91346,589
peor-caso-agm,27,351.0,ins,0.0578218,1131
peor-caso-agm,27,351.0,agm,0.365776,4461
peor-caso-agm,27,351.0,GA,0.3829699999999999,648
peor-caso-agm,27,351.0,TABU_CICLOS,95.79354000000001,609
peor-caso-agm,27,351.0,TABU_ESTRUCTURA,94.63573999999998,617
peor-caso-agm,28,378.0,ins,0.04653739999999999,1399
peor-caso-agm,28,378.0,agm,0.4316576,4622
peor-caso-agm,28,378.0,GA,0.38685600000000003,765
peor-caso-agm,28,378.0,TABU_CICLOS,104.5882,667
peor-caso-agm,28,378.0,TABU_ESTRUCTURA,103.37708,669
peor-caso-agm,29,406.0,ins,0.0449936,1053
peor-caso-agm,29,406.0,agm,0.4377274,4693
peor-caso-agm,29,406.0,GA,0.43902979999999997,709
peor-caso-agm,29,406.0,TABU_CICLOS,109.3914,645
peor-caso-agm,29,406.0,TABU_ESTRUCTURA,107.80260000000001,643
peor-caso-agm,30,435.0,ins,0.0470412,1401
peor-caso-agm,30,435.0,agm,0.5062192,4910
peor-caso-agm,30,435.0,GA,0.5411106,834
peor-caso-agm,30,435.0,TABU_CICLOS,117.5608,696
peor-caso-agm,30,435.0,TABU_ESTRUCTURA,115.256,698
peor-caso-agm,31,465.0,ins,0.0492256,915
peor-caso-agm,31,465.0,agm,0.5915617999999999,5176
peor-caso-agm,31,465.0,GA,0.7310091999999999,818
peor-caso-agm,31,465.0,TABU_CICLOS,130.2302,751
peor-caso-agm,31,465.0,TABU_ESTRUCTURA,122.83120000000001,738
peor-caso-agm,32,496.0,ins,0.0674572,737
peor-caso-agm,32,496.0,agm,0.6320046,5222
peor-caso-agm,32,496.0,GA,0.5746338,910
peor-caso-agm,32,496.0,TABU_CICLOS,133.32099999999997,744
peor-caso-agm,32,496.0,TABU_ESTRUCTURA,130.656,745
peor-caso-agm,33,528.0,ins,0.0676346,1770
peor-caso-agm,33,528.0,agm,0.716179,5519
peor-caso-agm,33,528.0,GA,0.5776809999999999,959
peor-caso-agm,33,528.0,TABU_CICLOS,141.6094,741
peor-caso-agm,33,528.0,TABU_ESTRUCTURA,140.974,746
peor-caso-agm,34,561.0,ins,0.0700256,978
peor-caso-agm,34,561.0,agm,0.7328572,5551
peor-caso-agm,34,561.0,GA,0.597633,838
peor-caso-agm,34,561.0,TABU_CICLOS,151.2168,771
peor-caso-agm,34,561.0,TABU_ESTRUCTURA,148.254,773
peor-caso-agm,35,595.0,ins,0.0675462,1400
peor-caso-agm,35,595.0,agm,0.9845099999999999,5731
peor-caso-agm,35,595.0,GA,0.771056,1036
peor-caso-agm,35,595.0,TABU_CICLOS,162.2766,843
peor-caso-agm,35,595.0,TABU_ESTRUCTURA,157.88979999999998,833
peor-caso-agm,36,630.0,ins,0.0902562,1239
peor-caso-agm,36,630.0,agm,1.0259716,5962
peor-caso-agm,36,630.0,GA,0.7169022,903
peor-caso-agm,36,630.0,TABU_CICLOS,173.9148,847
peor-caso-agm,36,630.0,TABU_ESTRUCTURA,171.4254,840
peor-caso-agm,37,666.0,ins,0.0770982,504
peor-caso-agm,37,666.0,agm,1.0448764000000001,5996
peor-caso-agm,37,666.0,GA,1.0741544,891
peor-caso-agm,37,666.0,TABU_CICLOS,181.2242,835
peor-caso-agm,37,666.0,TABU_ESTRUCTURA,176.96259999999998,834
peor-caso-agm,38,703.0,ins,0.08867280000000001,569
peor-caso-agm,38,703.0,agm,1.2402966,6282
peor-caso-agm,38,703.0,GA,1.0722112,1080
peor-caso-agm,38,703.0,TABU_CICLOS,191.301,947
peor-caso-agm,38,703.0,TABU_ESTRUCTURA,188.97820000000002,933
peor-caso-agm,39,741.0,ins,0.10312740000000001,1160
peor-caso-agm,39,741.0,agm,1.339232,6513
peor-caso-agm,39,741.0,GA,0.9036459999999998,919
peor-caso-agm,39,741.0,TABU_CICLOS,199.60379999999998,842
peor-caso-agm,39,741.0,TABU_ESTRUCTURA,202.98100000000002,861
peor-caso-agm,40,780.0,ins,0.1033528,-199
peor-caso-agm,40,780.0,agm,1.7176200000000001,6736
peor-caso-agm,40,780.0,GA,0.9486258,990
peor-caso-agm,40,780.0,TABU_CICLOS,216.3956,928
peor-caso-agm,40,780.0,TABU_ESTRUCTURA,207.1672,921
peor-caso-agm,41,820.0,ins,0.1315838,1378
