dataset,n,m,metodo,tiempo,costo
peor-caso-agm,3,3.0,INS,0.03886,196
peor-caso-agm,3,3.0,AGM,0.04745999999999999,196
peor-caso-agm,3,3.0,GA,0.04708,196
peor-caso-agm,4,6.0,INS,0.027640000000000005,227
peor-caso-agm,4,6.0,AGM,0.02246,351
peor-caso-agm,4,6.0,GA,0.06323999999999999,227
peor-caso-agm,5,10.0,INS,0.026000000000000002,123
peor-caso-agm,5,10.0,AGM,0.028839999999999998,472
peor-caso-agm,5,10.0,GA,0.03858,254
peor-caso-agm,6,15.0,INS,0.02336,261
peor-caso-agm,6,15.0,AGM,0.06612,739
peor-caso-agm,6,15.0,GA,0.037279999999999994,370
peor-caso-agm,7,21.0,INS,0.02212,217
peor-caso-agm,7,21.0,AGM,0.02476,784
peor-caso-agm,7,21.0,GA,0.07034,364
peor-caso-agm,8,28.0,INS,0.03628,212
peor-caso-agm,8,28.0,AGM,0.03488,890
peor-caso-agm,8,28.0,GA,0.0616,322
peor-caso-agm,9,36.0,INS,0.02554,246
peor-caso-agm,9,36.0,AGM,0.052059999999999995,1116
peor-caso-agm,9,36.0,GA,0.06364,346
peor-caso-agm,10,45.0,INS,0.02902,378
peor-caso-agm,10,45.0,AGM,0.06810000000000001,1209
peor-caso-agm,10,45.0,GA,0.09616,371
peor-caso-agm,11,55.0,INS,0.025619999999999997,343
peor-caso-agm,11,55.0,AGM,0.055220000000000005,1435
peor-caso-agm,11,55.0,GA,0.10342,447
peor-caso-agm,12,66.0,INS,0.024640000000000002,338
peor-caso-agm,12,66.0,AGM,0.05798000000000001,1574
peor-caso-agm,12,66.0,GA,0.1139,438
peor-caso-agm,13,78.0,INS,0.029359999999999997,348
peor-caso-agm,13,78.0,AGM,0.05689999999999999,1825
peor-caso-agm,13,78.0,GA,0.15031999999999998,430
peor-caso-agm,14,91.0,INS,0.02682,396
peor-caso-agm,14,91.0,AGM,0.05454,1962
peor-caso-agm,14,91.0,GA,0.1379,401
peor-caso-agm,15,105.0,INS,0.054799999999999995,470
peor-caso-agm,15,105.0,AGM,0.04458,2193
peor-caso-agm,15,105.0,GA,0.14768,603
peor-caso-agm,16,120.0,INS,0.02532,444
peor-caso-agm,16,120.0,AGM,0.04134,2206
peor-caso-agm,16,120.0,GA,0.17915999999999999,546
peor-caso-agm,17,136.0,INS,0.03196,456
peor-caso-agm,17,136.0,AGM,0.059660000000000005,2190
peor-caso-agm,17,136.0,GA,0.27784,537
peor-caso-agm,18,153.0,INS,0.0323,508
peor-caso-agm,18,153.0,AGM,0.06228,2751
peor-caso-agm,18,153.0,GA,0.25671999999999995,691
peor-caso-agm,19,171.0,INS,0.04176,535
peor-caso-agm,19,171.0,AGM,0.058620000000000005,2637
peor-caso-agm,19,171.0,GA,0.23108000000000004,636
peor-caso-agm,20,190.0,INS,0.05244,525
peor-caso-agm,20,190.0,AGM,0.051140000000000005,2763
peor-caso-agm,20,190.0,GA,0.29181999999999997,586
peor-caso-agm,21,210.0,INS,0.04218000000000001,587
peor-caso-agm,21,210.0,AGM,0.051160000000000004,3073
peor-caso-agm,21,210.0,GA,0.26833999999999997,765
peor-caso-agm,22,231.0,INS,0.04122,628
peor-caso-agm,22,231.0,AGM,0.062240000000000004,2570
peor-caso-agm,22,231.0,GA,0.30862,617
peor-caso-agm,23,253.0,INS,0.05419999999999999,604
peor-caso-agm,23,253.0,AGM,0.0678,3353
peor-caso-agm,23,253.0,GA,0.39692,685
peor-caso-agm,24,276.0,INS,0.0495,583
peor-caso-agm,24,276.0,AGM,0.05911999999999999,3711
peor-caso-agm,24,276.0,GA,0.41059999999999997,630
peor-caso-agm,25,300.0,INS,0.10242,660
peor-caso-agm,25,300.0,AGM,0.06942,3602
peor-caso-agm,25,300.0,GA,0.41600000000000004,676
peor-caso-agm,26,325.0,INS,0.04362,636
peor-caso-agm,26,325.0,AGM,0.06336,3852
peor-caso-agm,26,325.0,GA,0.40721999999999997,650
peor-caso-agm,27,351.0,INS,0.06391999999999999,644
peor-caso-agm,27,351.0,AGM,0.07076,4106
peor-caso-agm,27,351.0,GA,0.4963800000000001,648
peor-caso-agm,28,378.0,INS,0.055299999999999995,679
peor-caso-agm,28,378.0,AGM,0.08948,3852
peor-caso-agm,28,378.0,GA,0.69852,765
peor-caso-agm,29,406.0,INS,0.05434,741
peor-caso-agm,29,406.0,AGM,0.08499999999999999,4232
peor-caso-agm,29,406.0,GA,0.62188,709
peor-caso-agm,30,435.0,INS,0.06406,714
peor-caso-agm,30,435.0,AGM,0.12344,4533
peor-caso-agm,30,435.0,GA,0.6091599999999999,834
peor-caso-agm,31,465.0,INS,0.06316,781
peor-caso-agm,31,465.0,AGM,0.08124,4775
peor-caso-agm,31,465.0,GA,0.6240399999999999,818
peor-caso-agm,32,496.0,INS,0.07464,788
peor-caso-agm,32,496.0,AGM,0.11908,4404
peor-caso-agm,32,496.0,GA,1.6858600000000004,910
peor-caso-agm,33,528.0,INS,0.07665999999999999,780
peor-caso-agm,33,528.0,AGM,0.1129,4721
peor-caso-agm,33,528.0,GA,0.82154,959
peor-caso-agm,34,561.0,INS,0.07211999999999999,836
peor-caso-agm,34,561.0,AGM,0.10147999999999999,4790
peor-caso-agm,34,561.0,GA,0.75348,838
peor-caso-agm,35,595.0,INS,0.08174000000000001,856
peor-caso-agm,35,595.0,AGM,0.09324,4703
peor-caso-agm,35,595.0,GA,0.8114600000000001,1036
peor-caso-agm,36,630.0,INS,0.09386000000000001,903
peor-caso-agm,36,630.0,AGM,0.12836,4907
peor-caso-agm,36,630.0,GA,0.8255399999999999,903
peor-caso-agm,37,666.0,INS,0.10190000000000002,896
peor-caso-agm,37,666.0,AGM,0.11896,5065
peor-caso-agm,37,666.0,GA,0.90992,891
peor-caso-agm,38,703.0,INS,0.09462,1073
peor-caso-agm,38,703.0,AGM,0.10869999999999999,5311
peor-caso-agm,38,703.0,GA,0.82286,1080
peor-caso-agm,39,741.0,INS,0.08906,918
peor-caso-agm,39,741.0,AGM,0.12714,5437
peor-caso-agm,39,741.0,GA,1.5660599999999998,919
peor-caso-agm,40,780.0,INS,0.09934,1022
peor-caso-agm,40,780.0,AGM,0.134,6099
peor-caso-agm,40,780.0,GA,1.02404,990
peor-caso-agm,41,820.0,INS,0.1265,1005
peor-caso-agm,41,820.0,AGM,0.18346,6125
peor-caso-agm,41,820.0,GA,1.1058800000000002,963
peor-caso-agm,42,861.0,INS,0.12512,958
peor-caso-agm,42,861.0,AGM,0.11692,6320
peor-caso-agm,42,861.0,GA,1.22132,970
peor-caso-agm,43,903.0,INS,0.18732000000000001,1043
peor-caso-agm,43,903.0,AGM,0.12902,6116
peor-caso-agm,43,903.0,GA,1.7742200000000001,1162
peor-caso-agm,44,946.0,INS,0.12828,1075
peor-caso-agm,44,946.0,AGM,0.15875999999999998,6348
peor-caso-agm,44,946.0,GA,1.35842,1075
peor-caso-agm,45,990.0,INS,0.12992,1121
peor-caso-agm,45,990.0,AGM,0.15256,6436
peor-caso-agm,45,990.0,GA,1.50708,1245
peor-caso-agm,46,1035.0,INS,0.13794,1112
peor-caso-agm,46,1035.0,AGM,0.16096,6594
peor-caso-agm,46,1035.0,GA,1.40766,1135
peor-caso-agm,47,1081.0,INS,0.16698,1108
peor-caso-agm,47,1081.0,AGM,0.21964,7020
peor-caso-agm,47,1081.0,GA,2.1662,1110
peor-caso-agm,48,1128.0,INS,0.19790000000000002,1250
peor-caso-agm,48,1128.0,AGM,0.31342,6999
peor-caso-agm,48,1128.0,GA,1.6382199999999998,1177
