dataset,n,m,metodo,tiempo,costo
peor-caso-agm,3,3.0,TABU_CICLOS,0.8233801999999999,196
peor-caso-agm,3,3.0,TABU_ESTRUCTURA,0.830358,196
peor-caso-agm,4,6.0,TABU_CICLOS,1.9629520000000003,227
peor-caso-agm,4,6.0,TABU_ESTRUCTURA,1.750974,227
peor-caso-agm,5,10.0,TABU_CICLOS,3.12652,123
peor-caso-agm,5,10.0,TABU_ESTRUCTURA,3.282666,123
peor-caso-agm,6,15.0,TABU_CICLOS,5.21106,241
peor-caso-agm,6,15.0,TABU_ESTRUCTURA,5.408042,241
peor-caso-agm,7,21.0,TABU_CICLOS,7.57012,217
peor-caso-agm,7,21.0,TABU_ESTRUCTURA,6.63761,217
peor-caso-agm,8,28.0,TABU_CICLOS,9.218432,212
peor-caso-agm,8,28.0,TABU_ESTRUCTURA,9.161366,212
peor-caso-agm,9,36.0,TABU_CICLOS,11.39192,252
peor-caso-agm,9,36.0,TABU_ESTRUCTURA,10.965039999999998,255
peor-caso-agm,10,45.0,TABU_CICLOS,14.55622,313
peor-caso-agm,10,45.0,TABU_ESTRUCTURA,12.962879999999998,313
peor-caso-agm,11,55.0,TABU_CICLOS,19.048759999999998,308
peor-caso-agm,11,55.0,TABU_ESTRUCTURA,18.464280000000002,308
peor-caso-agm,12,66.0,TABU_CICLOS,20.68712,328
peor-caso-agm,12,66.0,TABU_ESTRUCTURA,21.789300000000004,328
peor-caso-agm,13,78.0,TABU_CICLOS,24.79608,329
peor-caso-agm,13,78.0,TABU_ESTRUCTURA,26.27536,329
peor-caso-agm,14,91.0,TABU_CICLOS,27.21672,358
peor-caso-agm,14,91.0,TABU_ESTRUCTURA,26.2368,358
peor-caso-agm,15,105.0,TABU_CICLOS,31.315680000000004,446
peor-caso-agm,15,105.0,TABU_ESTRUCTURA,30.82282,439
peor-caso-agm,16,120.0,TABU_CICLOS,39.074980000000004,412
peor-caso-agm,16,120.0,TABU_ESTRUCTURA,39.27414,429
peor-caso-agm,17,136.0,TABU_CICLOS,40.78493999999999,469
peor-caso-agm,17,136.0,TABU_ESTRUCTURA,42.626020000000004,443
peor-caso-agm,18,153.0,TABU_CICLOS,47.8754,458
peor-caso-agm,18,153.0,TABU_ESTRUCTURA,47.44784,453
peor-caso-agm,19,171.0,TABU_CICLOS,51.46476,522
peor-caso-agm,19,171.0,TABU_ESTRUCTURA,48.641040000000004,512
peor-caso-agm,20,190.0,TABU_CICLOS,57.066280000000006,458
peor-caso-agm,20,190.0,TABU_ESTRUCTURA,60.39096000000001,456
peor-caso-agm,21,210.0,TABU_CICLOS,60.954719999999995,568
peor-caso-agm,21,210.0,TABU_ESTRUCTURA,60.46616,571
peor-caso-agm,22,231.0,TABU_CICLOS,69.40158,593
peor-caso-agm,22,231.0,TABU_ESTRUCTURA,64.9359,562
peor-caso-agm,23,253.0,TABU_CICLOS,69.398,593
peor-caso-agm,23,253.0,TABU_ESTRUCTURA,69.6111,593
peor-caso-agm,24,276.0,TABU_CICLOS,76.80931999999999,572
peor-caso-agm,24,276.0,TABU_ESTRUCTURA,75.37717999999998,564
peor-caso-agm,25,300.0,TABU_CICLOS,81.54815999999998,615
peor-caso-agm,25,300.0,TABU_ESTRUCTURA,81.48624,622
peor-caso-agm,26,325.0,TABU_CICLOS,89.37582,585
peor-caso-agm,26,325.0,TABU_ESTRUCTURA,87.64066,585
peor-caso-agm,27,351.0,TABU_CICLOS,93.65868,617
peor-caso-agm,27,351.0,TABU_ESTRUCTURA,93.64748,617
peor-caso-agm,28,378.0,TABU_CICLOS,101.48286,664
peor-caso-agm,28,378.0,TABU_ESTRUCTURA,100.66884,658
peor-caso-agm,29,406.0,TABU_CICLOS,108.43820000000001,643
peor-caso-agm,29,406.0,TABU_ESTRUCTURA,106.976,650
peor-caso-agm,30,435.0,TABU_CICLOS,115.4538,688
peor-caso-agm,30,435.0,TABU_ESTRUCTURA,114.901,691
peor-caso-agm,31,465.0,TABU_CICLOS,125.23240000000001,729
peor-caso-agm,31,465.0,TABU_ESTRUCTURA,122.405,748
peor-caso-agm,32,496.0,TABU_CICLOS,131.6086,753
peor-caso-agm,32,496.0,TABU_ESTRUCTURA,131.77620000000002,763
