dataset,n,m,metodo,tiempo,costo
grafo-euleriano,3,3.0,INS,0.0031669999999999997,2057
grafo-euleriano,3,3.0,AGM,0.008219,2057
grafo-euleriano,3,3.0,GA,0.011722,2057
grafo-euleriano,4,6.0,INS,0.004777,2096
grafo-euleriano,4,6.0,AGM,0.0085026,2178
grafo-euleriano,4,6.0,GA,0.0147238,2178
grafo-euleriano,5,10.0,INS,0.0113498,1365
grafo-euleriano,5,10.0,AGM,0.0111444,1573
grafo-euleriano,5,10.0,GA,0.0218266,1365
grafo-euleriano,6,15.0,INS,0.008098600000000001,3404
grafo-euleriano,6,15.0,AGM,0.0167092,3528
grafo-euleriano,6,15.0,GA,0.0205602,3334
grafo-euleriano,7,21.0,INS,0.0076332000000000014,1968
grafo-euleriano,7,21.0,AGM,0.012934800000000002,2022
grafo-euleriano,7,21.0,GA,0.047838399999999996,1997
grafo-euleriano,8,28.0,INS,0.011543600000000001,2125
grafo-euleriano,8,28.0,AGM,0.013206200000000001,2249
grafo-euleriano,8,28.0,GA,0.036757200000000004,2125
grafo-euleriano,9,36.0,INS,0.0148036,5486
grafo-euleriano,9,36.0,AGM,0.023436,5442
grafo-euleriano,9,36.0,GA,0.07102420000000001,5416
grafo-euleriano,10,45.0,INS,0.012448,5732
grafo-euleriano,10,45.0,AGM,0.0223456,6438
grafo-euleriano,10,45.0,GA,0.0799564,6082
grafo-euleriano,11,55.0,INS,0.014629599999999998,4517
grafo-euleriano,11,55.0,AGM,0.0159688,4758
grafo-euleriano,11,55.0,GA,0.0832572,4457
grafo-euleriano,12,66.0,INS,0.013111399999999999,5570
grafo-euleriano,12,66.0,AGM,0.0184128,6077
grafo-euleriano,12,66.0,GA,0.1469872,5900
grafo-euleriano,13,78.0,INS,0.0200666,3553
grafo-euleriano,13,78.0,AGM,0.027935599999999998,3637
grafo-euleriano,13,78.0,GA,0.122941,3486
grafo-euleriano,14,91.0,INS,0.023510999999999997,5082
grafo-euleriano,14,91.0,AGM,0.0327618,5474
grafo-euleriano,14,91.0,GA,0.2099008,5237
grafo-euleriano,15,105.0,INS,0.026158800000000003,5436
grafo-euleriano,15,105.0,AGM,0.0253164,5619
grafo-euleriano,15,105.0,GA,0.20988599999999996,5468
grafo-euleriano,16,120.0,INS,0.025979399999999996,9173
grafo-euleriano,16,120.0,AGM,0.0235494,9316
grafo-euleriano,16,120.0,GA,0.16554059999999998,8911
grafo-euleriano,17,136.0,INS,0.030853399999999996,5593
grafo-euleriano,17,136.0,AGM,0.032556,5914
grafo-euleriano,17,136.0,GA,0.21824879999999997,5453
grafo-euleriano,18,153.0,INS,0.0323044,7610
grafo-euleriano,18,153.0,AGM,0.0351396,8405
grafo-euleriano,18,153.0,GA,0.3201088,7265
grafo-euleriano,19,171.0,INS,0.0364568,6076
grafo-euleriano,19,171.0,AGM,0.0375466,6564
grafo-euleriano,19,171.0,GA,0.3622954,6326
grafo-euleriano,20,190.0,INS,0.027823999999999998,10615
grafo-euleriano,20,190.0,AGM,0.050297999999999995,11277
grafo-euleriano,20,190.0,GA,0.3229638,10111
grafo-euleriano,21,210.0,INS,0.0366238,8463
grafo-euleriano,21,210.0,AGM,0.048210600000000006,8822
grafo-euleriano,21,210.0,GA,0.2645112,8286
grafo-euleriano,22,231.0,INS,0.033615,6481
grafo-euleriano,22,231.0,AGM,0.0441402,7013
grafo-euleriano,22,231.0,GA,0.4010429999999999,6635
grafo-euleriano,23,253.0,INS,0.0496476,12685
grafo-euleriano,23,253.0,AGM,0.043707,13744
grafo-euleriano,23,253.0,GA,0.36004,12817
grafo-euleriano,24,276.0,INS,0.06349239999999999,7137
grafo-euleriano,24,276.0,AGM,0.05884740000000001,7782
grafo-euleriano,24,276.0,GA,0.5771542,7194
grafo-euleriano,25,300.0,INS,0.077166,7566
