dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,9,36.0,TABU_CICLOS 160 25 300,3.60947,2999,TSP_AGM
grafo-euleriano,9,36.0,TABU_ESTRUCTURA 160 25 300,1.58771,2999,TSP_AGM
grafo-euleriano,12,66.0,TABU_CICLOS 160 25 300,7.34586,4578,TSP_AGM
grafo-euleriano,12,66.0,TABU_ESTRUCTURA 160 25 300,1.68835,4578,TSP_AGM
grafo-euleriano,15,105.0,TABU_CICLOS 160 25 300,10.7832,3420,TSP_AGM
grafo-euleriano,15,105.0,TABU_ESTRUCTURA 160 25 300,3.92338,3458,TSP_AGM
grafo-euleriano,18,153.0,TABU_CICLOS 160 25 300,15.8535,9027,TSP_AGM
grafo-euleriano,18,153.0,TABU_ESTRUCTURA 160 25 300,5.0613,9172,TSP_AGM
grafo-euleriano,21,210.0,TABU_CICLOS 160 25 300,23.7773,10392,TSP_AGM
grafo-euleriano,21,210.0,TABU_ESTRUCTURA 160 25 300,9.3711,10508,TSP_AGM
grafo-euleriano,24,276.0,TABU_CICLOS 160 25 300,34.0306,9461,TSP_AGM
grafo-euleriano,24,276.0,TABU_ESTRUCTURA 160 25 300,13.9526,9503,TSP_AGM
grafo-euleriano,27,351.0,TABU_CICLOS 160 25 300,37.6158,11234,TSP_AGM
grafo-euleriano,27,351.0,TABU_ESTRUCTURA 160 25 300,12.9157,11338,TSP_AGM
grafo-euleriano,30,435.0,TABU_CICLOS 160 25 300,40.717,11859,TSP_AGM
grafo-euleriano,30,435.0,TABU_ESTRUCTURA 160 25 300,15.74,11998,TSP_AGM
grafo-euleriano,33,528.0,TABU_CICLOS 160 25 300,48.6243,9440,TSP_AGM
grafo-euleriano,33,528.0,TABU_ESTRUCTURA 160 25 300,18.2166,9447,TSP_AGM
grafo-euleriano,36,630.0,TABU_CICLOS 160 25 300,56.166,9451,TSP_AGM
grafo-euleriano,36,630.0,TABU_ESTRUCTURA 160 25 300,20.4156,9519,TSP_AGM
grafo-euleriano,39,741.0,TABU_CICLOS 160 25 300,60.2014,9205,TSP_AGM
grafo-euleriano,39,741.0,TABU_ESTRUCTURA 160 25 300,26.3305,9256,TSP_AGM
grafo-euleriano,42,861.0,TABU_CICLOS 160 25 300,68.1007,21947,TSP_AGM
grafo-euleriano,42,861.0,TABU_ESTRUCTURA 160 25 300,34.161,21962,TSP_AGM
grafo-euleriano,45,990.0,TABU_CICLOS 160 25 300,84.672,14061,TSP_AGM
grafo-euleriano,45,990.0,TABU_ESTRUCTURA 160 25 300,40.4405,14097,TSP_AGM
