dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,9,36.0,TABU_CICLOS 160 25 300,1.84269,2999,TSP_GA
grafo-euleriano,9,36.0,TABU_ESTRUCTURA 160 25 300,0.626904,2999,TSP_GA
grafo-euleriano,12,66.0,TABU_CICLOS 160 25 300,4.09457,4578,TSP_GA
grafo-euleriano,12,66.0,TABU_ESTRUCTURA 160 25 300,1.49971,4578,TSP_GA
grafo-euleriano,15,105.0,TABU_CICLOS 160 25 300,7.70875,3420,TSP_GA
grafo-euleriano,15,105.0,TABU_ESTRUCTURA 160 25 300,2.90462,3521,TSP_GA
grafo-euleriano,18,153.0,TABU_CICLOS 160 25 300,11.1998,9027,TSP_GA
grafo-euleriano,18,153.0,TABU_ESTRUCTURA 160 25 300,4.33476,9180,TSP_GA
grafo-euleriano,21,210.0,TABU_CICLOS 160 25 300,14.9998,10398,TSP_GA
grafo-euleriano,21,210.0,TABU_ESTRUCTURA 160 25 300,6.17823,10483,TSP_GA
grafo-euleriano,24,276.0,TABU_CICLOS 160 25 300,18.872,9489,TSP_GA
grafo-euleriano,24,276.0,TABU_ESTRUCTURA 160 25 300,7.95754,9528,TSP_GA
grafo-euleriano,27,351.0,TABU_CICLOS 160 25 300,21.8487,11221,TSP_GA
grafo-euleriano,27,351.0,TABU_ESTRUCTURA 160 25 300,7.91022,11290,TSP_GA
grafo-euleriano,30,435.0,TABU_CICLOS 160 25 300,24.034,11877,TSP_GA
grafo-euleriano,30,435.0,TABU_ESTRUCTURA 160 25 300,10.3895,11838,TSP_GA
grafo-euleriano,33,528.0,TABU_CICLOS 160 25 300,29.8854,9423,TSP_GA
grafo-euleriano,33,528.0,TABU_ESTRUCTURA 160 25 300,15.1946,9485,TSP_GA
grafo-euleriano,36,630.0,TABU_CICLOS 160 25 300,34.3472,9473,TSP_GA
grafo-euleriano,36,630.0,TABU_ESTRUCTURA 160 25 300,13.2046,9487,TSP_GA
grafo-euleriano,39,741.0,TABU_CICLOS 160 25 300,39.6282,9161,TSP_GA
grafo-euleriano,39,741.0,TABU_ESTRUCTURA 160 25 300,15.7242,9211,TSP_GA
grafo-euleriano,42,861.0,TABU_CICLOS 160 25 300,47.5612,21951,TSP_GA
grafo-euleriano,42,861.0,TABU_ESTRUCTURA 160 25 300,17.7243,22060,TSP_GA
grafo-euleriano,45,990.0,TABU_CICLOS 160 25 300,53.4224,14047,TSP_GA
grafo-euleriano,45,990.0,TABU_ESTRUCTURA 160 25 300,22.6648,14096,TSP_GA
grafo-euleriano,48,1128.0,TABU_CICLOS 160 25 300,61.4492,19514,TSP_GA
grafo-euleriano,48,1128.0,TABU_ESTRUCTURA 160 25 300,26.1276,19547,TSP_GA
grafo-euleriano,51,1275.0,TABU_CICLOS 160 25 300,67.7397,23309,TSP_GA
grafo-euleriano,51,1275.0,TABU_ESTRUCTURA 160 25 300,28.4976,23299,TSP_GA
grafo-euleriano,54,1431.0,TABU_CICLOS 160 25 300,75.1072,18825,TSP_GA
grafo-euleriano,54,1431.0,TABU_ESTRUCTURA 160 25 300,31.1541,18862,TSP_GA
grafo-euleriano,57,1596.0,TABU_CICLOS 160 25 300,85.2367,27617,TSP_GA
grafo-euleriano,57,1596.0,TABU_ESTRUCTURA 160 25 300,38.4724,27733,TSP_GA
grafo-euleriano,60,1770.0,TABU_CICLOS 160 25 300,92.4193,24652,TSP_GA
grafo-euleriano,60,1770.0,TABU_ESTRUCTURA 160 25 300,37.7813,24629,TSP_GA
grafo-euleriano,63,1953.0,TABU_CICLOS 160 25 300,103.462,32562,TSP_GA
grafo-euleriano,63,1953.0,TABU_ESTRUCTURA 160 25 300,43.337,32671,TSP_GA
grafo-euleriano,66,2145.0,TABU_CICLOS 160 25 300,115.225,19554,TSP_GA
grafo-euleriano,66,2145.0,TABU_ESTRUCTURA 160 25 300,46.3099,19580,TSP_GA
grafo-euleriano,69,2346.0,TABU_CICLOS 160 25 300,119.377,32290,TSP_GA
grafo-euleriano,69,2346.0,TABU_ESTRUCTURA 160 25 300,49.722,32289,TSP_GA
grafo-euleriano,72,2556.0,TABU_CICLOS 160 25 300,135.955,24556,TSP_GA
grafo-euleriano,72,2556.0,TABU_ESTRUCTURA 160 25 300,55.0233,24691,TSP_GA
grafo-euleriano,75,2775.0,TABU_CICLOS 160 25 300,159.84,37777,TSP_GA
grafo-euleriano,75,2775.0,TABU_ESTRUCTURA 160 25 300,56.4188,37883,TSP_GA
grafo-euleriano,78,3003.0,TABU_CICLOS 160 25 300,159.828,34553,TSP_GA
grafo-euleriano,78,3003.0,TABU_ESTRUCTURA 160 25 300,61.4695,34558,TSP_GA
grafo-euleriano,81,3240.0,TABU_CICLOS 160 25 300,208.273,39778,TSP_GA
grafo-euleriano,81,3240.0,TABU_ESTRUCTURA 160 25 300,65.5075,39804,TSP_GA
grafo-euleriano,84,3486.0,TABU_CICLOS 160 25 300,183.043,31074,TSP_GA
grafo-euleriano,84,3486.0,TABU_ESTRUCTURA 160 25 300,73.1662,31066,TSP_GA
grafo-euleriano,87,3741.0,TABU_CICLOS 160 25 300,198.571,33064,TSP_GA
grafo-euleriano,87,3741.0,TABU_ESTRUCTURA 160 25 300,76.7988,33156,TSP_GA
grafo-euleriano,90,4005.0,TABU_CICLOS 160 25 300,211.514,30367,TSP_GA
grafo-euleriano,90,4005.0,TABU_ESTRUCTURA 160 25 300,80.5723,30390,TSP_GA
grafo-euleriano,93,4278.0,TABU_CICLOS 160 25 300,262.36,46632,TSP_GA
grafo-euleriano,93,4278.0,TABU_ESTRUCTURA 160 25 300,88.4665,46588,TSP_GA
grafo-euleriano,96,4560.0,TABU_CICLOS 160 25 300,244.478,20555,TSP_GA
grafo-euleriano,96,4560.0,TABU_ESTRUCTURA 160 25 300,91.3965,20605,TSP_GA
grafo-euleriano,99,4851.0,TABU_CICLOS 160 25 300,252.2,22938,TSP_GA
grafo-euleriano,99,4851.0,TABU_ESTRUCTURA 160 25 300,96.1013,22943,TSP_GA
grafo-euleriano,102,5151.0,TABU_CICLOS 160 25 300,284.792,30865,TSP_GA
grafo-euleriano,102,5151.0,TABU_ESTRUCTURA 160 25 300,103.218,30865,TSP_GA
grafo-euleriano,105,5460.0,TABU_CICLOS 160 25 300,306.89,52215,TSP_GA
grafo-euleriano,105,5460.0,TABU_ESTRUCTURA 160 25 300,112.415,52255,TSP_GA
grafo-euleriano,108,5778.0,TABU_CICLOS 160 25 300,312.94,35916,TSP_GA
grafo-euleriano,108,5778.0,TABU_ESTRUCTURA 160 25 300,113.707,35949,TSP_GA
grafo-euleriano,111,6105.0,TABU_CICLOS 160 25 300,326.873,23463,TSP_GA
grafo-euleriano,111,6105.0,TABU_ESTRUCTURA 160 25 300,118.262,23475,TSP_GA
grafo-euleriano,114,6441.0,TABU_CICLOS 160 25 300,363.817,47559,TSP_GA
grafo-euleriano,114,6441.0,TABU_ESTRUCTURA 160 25 300,128.21,47557,TSP_GA
grafo-euleriano,117,6786.0,TABU_CICLOS 160 25 300,368.18,44557,TSP_GA
grafo-euleriano,117,6786.0,TABU_ESTRUCTURA 160 25 300,132.603,44583,TSP_GA
grafo-euleriano,120,7140.0,TABU_CICLOS 160 25 300,386.393,53994,TSP_GA
grafo-euleriano,120,7140.0,TABU_ESTRUCTURA 160 25 300,139.767,54051,TSP_GA
grafo-euleriano,123,7503.0,TABU_CICLOS 160 25 300,413.681,31619,TSP_GA
grafo-euleriano,123,7503.0,TABU_ESTRUCTURA 160 25 300,144.754,31666,TSP_GA
grafo-euleriano,126,7875.0,TABU_CICLOS 160 25 300,441.074,35268,TSP_GA
grafo-euleriano,126,7875.0,TABU_ESTRUCTURA 160 25 300,151.21,35217,TSP_GA
grafo-euleriano,129,8256.0,TABU_CICLOS 160 25 300,479.7,42045,TSP_GA
grafo-euleriano,129,8256.0,TABU_ESTRUCTURA 160 25 300,162.898,42085,TSP_GA
grafo-euleriano,132,8646.0,TABU_CICLOS 160 25 300,495.559,34747,TSP_GA
grafo-euleriano,132,8646.0,TABU_ESTRUCTURA 160 25 300,169.007,34785,TSP_GA
grafo-euleriano,135,9045.0,TABU_CICLOS 160 25 300,532.842,43339,TSP_GA
grafo-euleriano,135,9045.0,TABU_ESTRUCTURA 160 25 300,181.506,43335,TSP_GA
grafo-euleriano,138,9453.0,TABU_CICLOS 160 25 300,530.502,32282,TSP_GA
grafo-euleriano,138,9453.0,TABU_ESTRUCTURA 160 25 300,184.277,32333,TSP_GA
grafo-euleriano,141,9870.0,TABU_CICLOS 160 25 300,627.791,63199,TSP_GA
grafo-euleriano,141,9870.0,TABU_ESTRUCTURA 160 25 300,190.756,63271,TSP_GA
grafo-euleriano,144,10296.0,TABU_CICLOS 160 25 300,689.17,43132,TSP_GA
grafo-euleriano,144,10296.0,TABU_ESTRUCTURA 160 25 300,201.875,43229,TSP_GA
grafo-euleriano,147,10731.0,TABU_CICLOS 160 25 300,728.501,61286,TSP_GA
grafo-euleriano,147,10731.0,TABU_ESTRUCTURA 160 25 300,209.853,61375,TSP_GA
grafo-euleriano,150,11175.0,TABU_CICLOS 160 25 300,624.838,60203,TSP_GA
grafo-euleriano,150,11175.0,TABU_ESTRUCTURA 160 25 300,215.57,60277,TSP_GA
grafo-euleriano,153,11628.0,TABU_CICLOS 160 25 300,665.014,37932,TSP_GA
grafo-euleriano,153,11628.0,TABU_ESTRUCTURA 160 25 300,223.206,37973,TSP_GA
