dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,9,36.0,TABU_CICLOS 160 25 300,1.53018,2999,TSP_INS
grafo-euleriano,9,36.0,TABU_ESTRUCTURA 160 25 300,0.567239,2999,TSP_INS
grafo-euleriano,12,66.0,TABU_CICLOS 160 25 300,3.0083,4578,TSP_INS
grafo-euleriano,12,66.0,TABU_ESTRUCTURA 160 25 300,1.02905,4578,TSP_INS
grafo-euleriano,15,105.0,TABU_CICLOS 160 25 300,5.32712,3418,TSP_INS
grafo-euleriano,15,105.0,TABU_ESTRUCTURA 160 25 300,2.02517,3420,TSP_INS
grafo-euleriano,18,153.0,TABU_CICLOS 160 25 300,10.6075,9044,TSP_INS
grafo-euleriano,18,153.0,TABU_ESTRUCTURA 160 25 300,4.46171,9173,TSP_INS
grafo-euleriano,21,210.0,TABU_CICLOS 160 25 300,14.3999,10413,TSP_INS
grafo-euleriano,21,210.0,TABU_ESTRUCTURA 160 25 300,5.77086,10486,TSP_INS
grafo-euleriano,24,276.0,TABU_CICLOS 160 25 300,18.9617,9491,TSP_INS
grafo-euleriano,24,276.0,TABU_ESTRUCTURA 160 25 300,7.27976,9584,TSP_INS
grafo-euleriano,27,351.0,TABU_CICLOS 160 25 300,22.3966,11191,TSP_INS
grafo-euleriano,27,351.0,TABU_ESTRUCTURA 160 25 300,8.35816,11364,TSP_INS
grafo-euleriano,30,435.0,TABU_CICLOS 160 25 300,25.3671,11823,TSP_INS
grafo-euleriano,30,435.0,TABU_ESTRUCTURA 160 25 300,9.80482,11892,TSP_INS
grafo-euleriano,33,528.0,TABU_CICLOS 160 25 300,29.1666,9441,TSP_INS
grafo-euleriano,33,528.0,TABU_ESTRUCTURA 160 25 300,11.5364,9487,TSP_INS
grafo-euleriano,36,630.0,TABU_CICLOS 160 25 300,34.1918,9459,TSP_INS
grafo-euleriano,36,630.0,TABU_ESTRUCTURA 160 25 300,12.6982,9516,TSP_INS
grafo-euleriano,39,741.0,TABU_CICLOS 160 25 300,40.4447,9180,TSP_INS
grafo-euleriano,39,741.0,TABU_ESTRUCTURA 160 25 300,16.1635,9306,TSP_INS
grafo-euleriano,42,861.0,TABU_CICLOS 160 25 300,47.82,22013,TSP_INS
grafo-euleriano,42,861.0,TABU_ESTRUCTURA 160 25 300,17.1956,22076,TSP_INS
grafo-euleriano,45,990.0,TABU_CICLOS 160 25 300,51.4302,14099,TSP_INS
grafo-euleriano,45,990.0,TABU_ESTRUCTURA 160 25 300,20.8925,14086,TSP_INS
grafo-euleriano,48,1128.0,TABU_CICLOS 160 25 300,59.8741,19546,TSP_INS
grafo-euleriano,48,1128.0,TABU_ESTRUCTURA 160 25 300,24.2416,19742,TSP_INS
