dataset,n,m,metodo,tiempo,costo,gap,tp
sol_optimas,666,221445.0,TABU_CICLOS 160 25 300,35489.9,311573,5.848320752281239,TSP_AGM
sol_optimas,666,221445.0,TABU_ESTRUCTURA 160 25 300,6193.39,311675,5.882972434926174,TSP_AGM
sol_optimas,107,5671.0,TABU_CICLOS 160 25 300,438.622,45629,2.9930253030268688,TSP_AGM
sol_optimas,107,5671.0,TABU_ESTRUCTURA 160 25 300,130.871,45473,2.6409046791413715,TSP_AGM
sol_optimas,99,4851.0,TABU_CICLOS 160 25 300,419.455,1235,1.9818331957060167,TSP_AGM
sol_optimas,99,4851.0,TABU_ESTRUCTURA 160 25 300,117.379,1250,3.220478943022286,TSP_AGM
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1455.16,31313,6.622854807954241,TSP_AGM
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,368.04,31312,6.619449741214936,TSP_AGM
sol_optimas,654,213531.0,TABU_CICLOS 160 25 300,38974.7,37518,8.298934849753195,TSP_AGM
sol_optimas,654,213531.0,TABU_ESTRUCTURA 160 25 300,6229.19,37632,8.628005657708627,TSP_AGM
sol_optimas,574,164451.0,TABU_CICLOS 160 25 300,24629.0,39441,6.87169760195097,TSP_AGM
sol_optimas,574,164451.0,TABU_ESTRUCTURA 160 25 300,2825.0,39562,7.199566454409975,TSP_AGM
sol_optimas,152,11476.0,TABU_CICLOS 160 25 300,940.459,75519,2.493146222958103,TSP_AGM
sol_optimas,152,11476.0,TABU_ESTRUCTURA 160 25 300,257.275,75517,2.4904318558128153,TSP_AGM
sol_optimas,127,8001.0,TABU_CICLOS 160 25 300,651.203,122682,3.719923572479317,TSP_AGM
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 25 300,208.137,122547,3.6057895537782656,TSP_AGM
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,47.0863,2026,0.29702970297029196,TSP_AGM
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,18.0143,2064,2.1782178217821837,TSP_AGM
sol_optimas,1060,561270.0,TABU_CICLOS 160 25 300,67563.5,237615,6.033628745080193,TSP_AGM
sol_optimas,1060,561270.0,TABU_ESTRUCTURA 160 25 300,11093.9,238129,6.262996778137747,TSP_AGM
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,238.776,111035,2.6590482530348964,TSP_AGM
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,73.7814,111087,2.707125620614107,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,435.32,22515,1.6891739307167768,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,112.805,23457,5.943724312361681,TSP_AGM
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,744.282,6789,3.998161764705884,TSP_AGM
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,235.905,6823,4.518995098039213,TSP_AGM
sol_optimas,264,34716.0,TABU_CICLOS 160 25 300,2906.25,51956,5.741324921135643,TSP_AGM
sol_optimas,264,34716.0,TABU_ESTRUCTURA 160 25 300,628.89,53526,8.936603235982489,TSP_AGM
sol_optimas,202,20301.0,TABU_CICLOS 160 25 300,1885.92,41048,2.211155378486069,TSP_AGM
sol_optimas,202,20301.0,TABU_ESTRUCTURA 160 25 300,628.006,41051,2.218625498007981,TSP_AGM
sol_optimas,532,141246.0,TABU_CICLOS 160 25 300,20424.5,28874,4.290977389294227,TSP_AGM
sol_optimas,532,141246.0,TABU_ESTRUCTURA 160 25 300,3609.82,28896,4.370439933540425,TSP_AGM
sol_optimas,42,861.0,TABU_CICLOS 160 25 300,67.7493,699,0.0,TSP_AGM
sol_optimas,42,861.0,TABU_ESTRUCTURA 160 25 300,28.264,712,1.8597997138769813,TSP_AGM
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,1388.51,27123,3.8002296211251405,TSP_AGM
