dataset,n,m,metodo,tiempo,costo,tp
sol_optimas,666,221445.0,TABU_CICLOS 160 25 300,62117.6,311573,TSP_AGM
sol_optimas,666,221445.0,TABU_ESTRUCTURA 160 25 300,3839.06,311675,TSP_AGM
sol_optimas,107,5671.0,TABU_CICLOS 160 25 300,391.983,45629,TSP_AGM
sol_optimas,107,5671.0,TABU_ESTRUCTURA 160 25 300,129.014,45473,TSP_AGM
sol_optimas,99,4851.0,TABU_CICLOS 160 25 300,399.118,1235,TSP_AGM
sol_optimas,99,4851.0,TABU_ESTRUCTURA 160 25 300,110.72,1250,TSP_AGM
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1928.74,31313,TSP_AGM
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,492.387,31312,TSP_AGM
sol_optimas,654,213531.0,TABU_CICLOS 160 25 300,25619.0,37518,TSP_AGM
sol_optimas,654,213531.0,TABU_ESTRUCTURA 160 25 300,3734.37,37632,TSP_AGM
sol_optimas,574,164451.0,TABU_CICLOS 160 25 300,19133.9,39441,TSP_AGM
sol_optimas,574,164451.0,TABU_ESTRUCTURA 160 25 300,3052.24,39562,TSP_AGM
sol_optimas,152,11476.0,TABU_CICLOS 160 25 300,949.1,75519,TSP_AGM
sol_optimas,152,11476.0,TABU_ESTRUCTURA 160 25 300,235.478,75517,TSP_AGM
sol_optimas,127,8001.0,TABU_CICLOS 160 25 300,705.023,122682,TSP_AGM
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 25 300,167.454,122547,TSP_AGM
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,38.4431,2026,TSP_AGM
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,10.8075,2064,TSP_AGM
sol_optimas,1060,561270.0,TABU_CICLOS 160 25 300,65841.7,237615,TSP_AGM
sol_optimas,1060,561270.0,TABU_ESTRUCTURA 160 25 300,11052.2,238129,TSP_AGM
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,193.04,111035,TSP_AGM
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,54.8796,111087,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,315.348,22515,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,92.1664,23457,TSP_AGM
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,673.74,6789,TSP_AGM
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,206.04,6823,TSP_AGM
sol_optimas,264,34716.0,TABU_CICLOS 160 25 300,2697.54,51956,TSP_AGM
sol_optimas,264,34716.0,TABU_ESTRUCTURA 160 25 300,573.342,53526,TSP_AGM
sol_optimas,202,20301.0,TABU_CICLOS 160 25 300,1702.24,41048,TSP_AGM
sol_optimas,202,20301.0,TABU_ESTRUCTURA 160 25 300,341.206,41051,TSP_AGM
sol_optimas,532,141246.0,TABU_CICLOS 160 25 300,10619.8,28874,TSP_AGM
sol_optimas,532,141246.0,TABU_ESTRUCTURA 160 25 300,2368.0,28896,TSP_AGM
sol_optimas,42,861.0,TABU_CICLOS 160 25 300,48.9763,699,TSP_AGM
sol_optimas,42,861.0,TABU_ESTRUCTURA 160 25 300,16.738,712,TSP_AGM
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,838.136,27123,TSP_AGM
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,208.872,27161,TSP_AGM
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,174.579,544,TSP_AGM
