dataset,n,m,metodo,tiempo,costo,tp
sol_optimas,666,221445.0,TABU_CICLOS 160 25 300,28335.3,308501,TSP_GA
sol_optimas,666,221445.0,TABU_ESTRUCTURA 160 25 300,5042.51,308542,TSP_GA
sol_optimas,107,5671.0,TABU_CICLOS 160 25 300,351.357,44303,TSP_GA
sol_optimas,107,5671.0,TABU_ESTRUCTURA 160 25 300,112.723,44303,TSP_GA
sol_optimas,99,4851.0,TABU_CICLOS 160 25 300,335.045,1234,TSP_GA
sol_optimas,99,4851.0,TABU_ESTRUCTURA 160 25 300,98.2787,1238,TSP_GA
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1655.25,30167,TSP_GA
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,392.625,30344,TSP_GA
sol_optimas,654,213531.0,TABU_CICLOS 160 25 300,26457.2,35014,TSP_GA
sol_optimas,654,213531.0,TABU_ESTRUCTURA 160 25 300,4655.88,35123,TSP_GA
sol_optimas,574,164451.0,TABU_CICLOS 160 25 300,21746.1,38736,TSP_GA
sol_optimas,574,164451.0,TABU_ESTRUCTURA 160 25 300,3866.36,38917,TSP_GA
sol_optimas,152,11476.0,TABU_CICLOS 160 25 300,834.162,74293,TSP_GA
sol_optimas,152,11476.0,TABU_ESTRUCTURA 160 25 300,222.856,77636,TSP_GA
sol_optimas,127,8001.0,TABU_CICLOS 160 25 300,590.279,121682,TSP_GA
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 25 300,159.1,122819,TSP_GA
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,21.8149,2020,TSP_GA
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,9.38663,2039,TSP_GA
sol_optimas,1060,561270.0,TABU_CICLOS 160 25 300,67659.8,231898,TSP_GA
sol_optimas,1060,561270.0,TABU_ESTRUCTURA 160 25 300,18938.9,232087,TSP_GA
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,162.037,109470,TSP_GA
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,57.6333,109814,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,295.705,22427,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,101.33,22486,TSP_GA
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,858.746,6874,TSP_GA
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,216.104,6874,TSP_GA
sol_optimas,264,34716.0,TABU_CICLOS 160 25 300,2794.51,50792,TSP_GA
sol_optimas,264,34716.0,TABU_ESTRUCTURA 160 25 300,663.564,52337,TSP_GA
sol_optimas,202,20301.0,TABU_CICLOS 160 25 300,1608.57,41766,TSP_GA
sol_optimas,202,20301.0,TABU_ESTRUCTURA 160 25 300,392.737,41769,TSP_GA
sol_optimas,532,141246.0,TABU_CICLOS 160 25 300,15017.3,28973,TSP_GA
sol_optimas,532,141246.0,TABU_ESTRUCTURA 160 25 300,3149.11,28973,TSP_GA
sol_optimas,42,861.0,TABU_CICLOS 160 25 300,46.8226,705,TSP_GA
sol_optimas,42,861.0,TABU_ESTRUCTURA 160 25 300,17.2605,709,TSP_GA
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,908.075,26944,TSP_GA
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,219.786,26948,TSP_GA
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,150.8,539,TSP_GA
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,58.3093,549,TSP_GA
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2746.73,134138,TSP_GA
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,461.343,134138,TSP_GA
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1758.47,29995,TSP_GA
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,391.848,30059,TSP_GA
sol_optimas,144,10296.0,TABU_CICLOS 160 25 300,643.825,59113,TSP_GA
sol_optimas,144,10296.0,TABU_ESTRUCTURA 160 25 300,201.453,59179,TSP_GA
sol_optimas,724,261726.0,TABU_CICLOS 160 25 300,37520.4,43759,TSP_GA
sol_optimas,724,261726.0,TABU_ESTRUCTURA 160 25 300,6456.16,43758,TSP_GA
sol_optimas,561,157080.0,TABU_CICLOS 160 25 300,14738.1,2872,TSP_GA
sol_optimas,561,157080.0,TABU_ESTRUCTURA 160 25 300,3287.01,2895,TSP_GA
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,4777.4,43819,TSP_GA
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,973.303,44260,TSP_GA
sol_optimas,1000,499500.0,TABU_CICLOS 160 25 300,89200.7,19998155,TSP_GA
sol_optimas,1000,499500.0,TABU_ESTRUCTURA 160 25 300,15914.2,20000416,TSP_GA
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,761.17,27389,TSP_GA
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,224.243,27512,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,287.72,21393,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,100.56,21393,TSP_GA
sol_optimas,14,91.0,TABU_CICLOS 160 25 300,4.30155,3323,TSP_GA
sol_optimas,14,91.0,TABU_ESTRUCTURA 160 25 300,1.70654,3336,TSP_GA
sol_optimas,159,12561.0,TABU_CICLOS 160 25 300,847.33,42463,TSP_GA
sol_optimas,159,12561.0,TABU_ESTRUCTURA 160 25 300,242.066,44182,TSP_GA
sol_optimas,229,26106.0,TABU_CICLOS 160 25 300,2018.07,141068,TSP_GA
sol_optimas,229,26106.0,TABU_ESTRUCTURA 160 25 300,490.299,141539,TSP_GA
sol_optimas,137,9316.0,TABU_CICLOS 160 25 300,717.174,71695,TSP_GA
sol_optimas,137,9316.0,TABU_ESTRUCTURA 160 25 300,187.135,72133,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,338.447,20937,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,102.098,20769,TSP_GA
sol_optimas,130,8385.0,TABU_CICLOS 160 25 300,652.534,6497,TSP_GA
sol_optimas,130,8385.0,TABU_ESTRUCTURA 160 25 300,171.54,6497,TSP_GA
sol_optimas,136,9180.0,TABU_CICLOS 160 25 300,665.249,103623,TSP_GA
sol_optimas,136,9180.0,TABU_ESTRUCTURA 160 25 300,182.684,106238,TSP_GA
sol_optimas,280,39060.0,TABU_CICLOS 160 25 300,4024.88,2669,TSP_GA
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 25 300,734.445,2679,TSP_GA
sol_optimas,51,1275.0,TABU_CICLOS 160 25 300,73.3793,430,TSP_GA
sol_optimas,51,1275.0,TABU_ESTRUCTURA 160 25 300,28.2042,444,TSP_GA
sol_optimas,105,5460.0,TABU_CICLOS 160 25 300,357.183,14646,TSP_GA
sol_optimas,105,5460.0,TABU_ESTRUCTURA 160 25 300,109.218,14665,TSP_GA
sol_optimas,195,18915.0,TABU_CICLOS 160 25 300,1466.57,2366,TSP_GA
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 25 300,363.007,2408,TSP_GA
sol_optimas,262,34191.0,TABU_CICLOS 160 25 300,2779.81,2483,TSP_GA
sol_optimas,262,34191.0,TABU_ESTRUCTURA 160 25 300,667.023,2492,TSP_GA
sol_optimas,657,215496.0,TABU_CICLOS 160 25 300,21590.1,50942,TSP_GA
sol_optimas,657,215496.0,TABU_ESTRUCTURA 160 25 300,5056.64,51056,TSP_GA
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,23.5454,1633,TSP_GA
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,9.68639,1646,TSP_GA
sol_optimas,431,92665.0,TABU_CICLOS 160 25 300,8692.18,184363,TSP_GA
sol_optimas,431,92665.0,TABU_ESTRUCTURA 160 25 300,1856.59,184592,TSP_GA
sol_optimas,417,86736.0,TABU_CICLOS 160 25 300,9019.97,12320,TSP_GA
sol_optimas,417,86736.0,TABU_ESTRUCTURA 160 25 300,1697.2,12347,TSP_GA
sol_optimas,299,44551.0,TABU_CICLOS 160 25 300,4089.0,50876,TSP_GA
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 25 300,841.712,51014,TSP_GA
sol_optimas,1002,501501.0,TABU_CICLOS 160 25 300,81898.2,272932,TSP_GA
sol_optimas,1002,501501.0,TABU_ESTRUCTURA 160 25 300,15361.8,273134,TSP_GA
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,1972.3,4035,TSP_GA
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,530.423,4061,TSP_GA
sol_optimas,16,120.0,TABU_CICLOS 160 25 300,5.91691,6859,TSP_GA
sol_optimas,16,120.0,TABU_ESTRUCTURA 160 25 300,2.13444,6890,TSP_GA
sol_optimas,101,5050.0,TABU_CICLOS 160 25 300,406.337,655,TSP_GA
sol_optimas,101,5050.0,TABU_ESTRUCTURA 160 25 300,101.257,650,TSP_GA
sol_optimas,1084,586986.0,TABU_CICLOS 160 25 300,107299.0,252253,TSP_GA
sol_optimas,1084,586986.0,TABU_ESTRUCTURA 160 25 300,19759.9,252257,TSP_GA
sol_optimas,124,7626.0,TABU_CICLOS 160 25 300,580.954,60056,TSP_GA
sol_optimas,124,7626.0,TABU_ESTRUCTURA 160 25 300,147.252,60056,TSP_GA
sol_optimas,52,1326.0,TABU_CICLOS 160 25 300,84.6731,8302,TSP_GA
sol_optimas,52,1326.0,TABU_ESTRUCTURA 160 25 300,28.8777,8275,TSP_GA
sol_optimas,198,19503.0,TABU_CICLOS 160 25 300,1747.48,16302,TSP_GA
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,372.419,16758,TSP_GA
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,10025.9,116031,TSP_GA
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1928.34,116073,TSP_GA
sol_optimas,70,2415.0,TABU_CICLOS 160 25 300,140.52,701,TSP_GA
sol_optimas,70,2415.0,TABU_ESTRUCTURA 160 25 300,50.1016,699,TSP_GA
sol_optimas,442,97461.0,TABU_CICLOS 160 25 300,7021.1,53373,TSP_GA
sol_optimas,442,97461.0,TABU_ESTRUCTURA 160 25 300,1892.76,53675,TSP_GA
sol_optimas,96,4560.0,TABU_CICLOS 160 25 300,270.84,57182,TSP_GA
sol_optimas,96,4560.0,TABU_ESTRUCTURA 160 25 300,90.5023,57017,TSP_GA
sol_optimas,783,306153.0,TABU_CICLOS 160 25 300,50754.5,9123,TSP_GA
sol_optimas,783,306153.0,TABU_ESTRUCTURA 160 25 300,8510.07,9140,TSP_GA
sol_optimas,120,7140.0,TABU_CICLOS 160 25 300,417.271,7109,TSP_GA
sol_optimas,120,7140.0,TABU_ESTRUCTURA 160 25 300,139.671,7104,TSP_GA
sol_optimas,226,25425.0,TABU_CICLOS 160 25 300,2308.52,85373,TSP_GA
sol_optimas,226,25425.0,TABU_ESTRUCTURA 160 25 300,475.699,85398,TSP_GA
sol_optimas,400,79800.0,TABU_CICLOS 160 25 300,7220.56,15779,TSP_GA
sol_optimas,400,79800.0,TABU_ESTRUCTURA 160 25 300,1648.57,15818,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,323.361,21976,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,99.8415,21756,TSP_GA
sol_optimas,535,142845.0,TABU_CICLOS 160 25 300,17038.2,219575,TSP_GA
sol_optimas,535,142845.0,TABU_ESTRUCTURA 160 25 300,3159.11,219575,TSP_GA
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,4603.29,43819,TSP_GA
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,976.252,44260,TSP_GA
sol_optimas,575,165025.0,TABU_CICLOS 160 25 300,23244.1,7062,TSP_GA
sol_optimas,575,165025.0,TABU_ESTRUCTURA 160 25 300,3661.08,7071,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,355.546,22291,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,100.437,22389,TSP_GA
sol_optimas,48,1128.0,TABU_CICLOS 160 25 300,60.6085,10948,TSP_GA
sol_optimas,48,1128.0,TABU_ESTRUCTURA 160 25 300,25.0288,10933,TSP_GA
sol_optimas,22,231.0,TABU_CICLOS 160 25 300,13.2832,7013,TSP_GA
sol_optimas,22,231.0,TABU_ESTRUCTURA 160 25 300,5.4604,7100,TSP_GA
sol_optimas,493,121278.0,TABU_CICLOS 160 25 300,17383.9,36628,TSP_GA
sol_optimas,493,121278.0,TABU_ESTRUCTURA 160 25 300,2504.31,36633,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,329.102,8009,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,99.3363,8001,TSP_GA
grafo-euleriano,9,36.0,TABU_CICLOS 160 25 300,1.84272,2999,TSP_GA
grafo-euleriano,9,36.0,TABU_ESTRUCTURA 160 25 300,0.620671,2999,TSP_GA
grafo-euleriano,12,66.0,TABU_CICLOS 160 25 300,3.6863,4578,TSP_GA
grafo-euleriano,12,66.0,TABU_ESTRUCTURA 160 25 300,1.55749,4578,TSP_GA
grafo-euleriano,15,105.0,TABU_CICLOS 160 25 300,7.40963,3420,TSP_GA
grafo-euleriano,15,105.0,TABU_ESTRUCTURA 160 25 300,2.77997,3521,TSP_GA
grafo-euleriano,18,153.0,TABU_CICLOS 160 25 300,11.5479,9027,TSP_GA
grafo-euleriano,18,153.0,TABU_ESTRUCTURA 160 25 300,4.34521,9180,TSP_GA
grafo-euleriano,21,210.0,TABU_CICLOS 160 25 300,14.8851,10398,TSP_GA
grafo-euleriano,21,210.0,TABU_ESTRUCTURA 160 25 300,6.07013,10483,TSP_GA
grafo-euleriano,24,276.0,TABU_CICLOS 160 25 300,17.9097,9489,TSP_GA
