dataset,n,m,metodo,tiempo,costo,tp
sol_optimas,666,221445.0,TABU_CICLOS 160 25 300,31790.9,326009,TSP_INS
sol_optimas,666,221445.0,TABU_ESTRUCTURA 160 25 300,4527.88,326381,TSP_INS
sol_optimas,107,5671.0,TABU_CICLOS 160 25 300,354.309,46182,TSP_INS
sol_optimas,107,5671.0,TABU_ESTRUCTURA 160 25 300,110.812,46694,TSP_INS
sol_optimas,99,4851.0,TABU_CICLOS 160 25 300,268.387,1267,TSP_INS
sol_optimas,99,4851.0,TABU_ESTRUCTURA 160 25 300,95.6244,1267,TSP_INS
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1708.71,31559,TSP_INS
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,397.591,32303,TSP_INS
sol_optimas,654,213531.0,TABU_CICLOS 160 25 300,23699.3,38066,TSP_INS
sol_optimas,654,213531.0,TABU_ESTRUCTURA 160 25 300,4391.69,38132,TSP_INS
sol_optimas,574,164451.0,TABU_CICLOS 160 25 300,15893.2,41097,TSP_INS
sol_optimas,574,164451.0,TABU_ESTRUCTURA 160 25 300,3411.6,41236,TSP_INS
sol_optimas,152,11476.0,TABU_CICLOS 160 25 300,891.827,79367,TSP_INS
sol_optimas,152,11476.0,TABU_ESTRUCTURA 160 25 300,216.502,79375,TSP_INS
sol_optimas,127,8001.0,TABU_CICLOS 160 25 300,581.205,127558,TSP_INS
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 25 300,155.011,127190,TSP_INS
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,22.5255,2035,TSP_INS
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,8.71883,2071,TSP_INS
sol_optimas,1060,561270.0,TABU_CICLOS 160 25 300,89657.4,252067,TSP_INS
sol_optimas,1060,561270.0,TABU_ESTRUCTURA 160 25 300,13892.7,252898,TSP_INS
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,157.138,110054,TSP_INS
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,55.3744,110956,TSP_INS
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,317.056,23555,TSP_INS
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,98.7428,23555,TSP_INS
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,740.306,7003,TSP_INS
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,214.596,7105,TSP_INS
sol_optimas,264,34716.0,TABU_CICLOS 160 25 300,3033.21,55682,TSP_INS
sol_optimas,264,34716.0,TABU_ESTRUCTURA 160 25 300,695.099,56074,TSP_INS
sol_optimas,202,20301.0,TABU_CICLOS 160 25 300,1590.54,42615,TSP_INS
sol_optimas,202,20301.0,TABU_ESTRUCTURA 160 25 300,416.342,43292,TSP_INS
sol_optimas,532,141246.0,TABU_CICLOS 160 25 300,15467.5,30567,TSP_INS
sol_optimas,532,141246.0,TABU_ESTRUCTURA 160 25 300,3031.27,30638,TSP_INS
sol_optimas,42,861.0,TABU_CICLOS 160 25 300,45.4536,704,TSP_INS
sol_optimas,42,861.0,TABU_ESTRUCTURA 160 25 300,17.1613,727,TSP_INS
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,698.607,28255,TSP_INS
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,213.079,28164,TSP_INS
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,167.467,565,TSP_INS
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,55.2398,561,TSP_INS
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2327.89,135414,TSP_INS
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,486.575,136934,TSP_INS
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1817.86,32725,TSP_INS
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,397.989,33100,TSP_INS
sol_optimas,144,10296.0,TABU_CICLOS 160 25 300,636.728,58938,TSP_INS
sol_optimas,144,10296.0,TABU_ESTRUCTURA 160 25 300,197.484,59005,TSP_INS
sol_optimas,724,261726.0,TABU_CICLOS 160 25 300,30370.4,46829,TSP_INS
sol_optimas,724,261726.0,TABU_ESTRUCTURA 160 25 300,5582.52,47425,TSP_INS
sol_optimas,561,157080.0,TABU_CICLOS 160 25 300,15040.3,2997,TSP_INS
sol_optimas,561,157080.0,TABU_ESTRUCTURA 160 25 300,3326.16,3038,TSP_INS
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,5545.56,44625,TSP_INS
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,965.532,45281,TSP_INS
sol_optimas,1000,499500.0,TABU_CICLOS 160 25 300,61506.5,20884398,TSP_INS
sol_optimas,1000,499500.0,TABU_ESTRUCTURA 160 25 300,12460.3,20912736,TSP_INS
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,677.468,28230,TSP_INS
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,219.515,28893,TSP_INS
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,374.79,23654,TSP_INS
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,99.2871,23367,TSP_INS
sol_optimas,14,91.0,TABU_CICLOS 160 25 300,4.21903,3323,TSP_INS
sol_optimas,14,91.0,TABU_ESTRUCTURA 160 25 300,1.7455,3323,TSP_INS
sol_optimas,159,12561.0,TABU_CICLOS 160 25 300,782.708,45937,TSP_INS
sol_optimas,159,12561.0,TABU_ESTRUCTURA 160 25 300,238.283,47473,TSP_INS
sol_optimas,229,26106.0,TABU_CICLOS 160 25 300,2193.4,142478,TSP_INS
sol_optimas,229,26106.0,TABU_ESTRUCTURA 160 25 300,498.681,145804,TSP_INS
sol_optimas,137,9316.0,TABU_CICLOS 160 25 300,697.635,76380,TSP_INS
sol_optimas,137,9316.0,TABU_ESTRUCTURA 160 25 300,179.041,76658,TSP_INS
