dataset,n,m,metodo,tiempo,costo,gap
sol_optimas,107,5671.0,TABU_CICLOS,3944.766666666667,44431,128
sol_optimas,107,5671.0,TABU_ESTRUCTURA,2522.9900000000002,44358,55
sol_optimas,99,4851.0,TABU_CICLOS,1767.9433333333334,1235,24
sol_optimas,99,4851.0,TABU_ESTRUCTURA,1750.5033333333333,1249,38
sol_optimas,200,19900.0,TABU_CICLOS,13739.700000000003,33266,3898
sol_optimas,200,19900.0,TABU_ESTRUCTURA,13331.0,30023,655
sol_optimas,152,11476.0,TABU_CICLOS,5758.56,74398,716
sol_optimas,152,11476.0,TABU_ESTRUCTURA,5653.400000000001,74178,496
sol_optimas,127,8001.0,TABU_CICLOS,3408.9533333333334,120411,2129
sol_optimas,127,8001.0,TABU_ESTRUCTURA,3897.5166666666664,122155,3873
sol_optimas,29,406.0,TABU_CICLOS,131.65766666666664,2039,19
sol_optimas,29,406.0,TABU_ESTRUCTURA,136.58133333333333,2080,60
sol_optimas,76,2850.0,TABU_CICLOS,937.3416666666667,111342,3183
sol_optimas,76,2850.0,TABU_ESTRUCTURA,956.32,111735,3576
sol_optimas,100,4950.0,TABU_CICLOS,1823.5199999999998,22311,170
sol_optimas,100,4950.0,TABU_ESTRUCTURA,1788.25,22316,175
sol_optimas,150,11175.0,TABU_CICLOS,5488.683333333334,6726,198
sol_optimas,150,11175.0,TABU_ESTRUCTURA,5380.663333333333,6691,163
sol_optimas,264,34716.0,TABU_CICLOS,35814.56666666667,55179,6044
sol_optimas,264,34716.0,TABU_ESTRUCTURA,35494.4,52627,3492
sol_optimas,202,20301.0,TABU_CICLOS,13864.533333333333,42201,2041
sol_optimas,202,20301.0,TABU_ESTRUCTURA,13777.200000000003,42144,1984
sol_optimas,42,861.0,TABU_CICLOS,274.35133333333334,752,53
sol_optimas,42,861.0,TABU_ESTRUCTURA,275.63466666666665,738,39
sol_optimas,150,11175.0,TABU_CICLOS,5504.086666666667,27215,1085
sol_optimas,150,11175.0,TABU_ESTRUCTURA,5440.549999999999,26995,865
sol_optimas,76,2850.0,TABU_CICLOS,947.4866666666667,546,8
sol_optimas,76,2850.0,TABU_ESTRUCTURA,969.2673333333333,547,9
sol_optimas,225,25200.0,TABU_CICLOS,20306.833333333332,134508,7865
sol_optimas,225,25200.0,TABU_ESTRUCTURA,19893.466666666667,127639,996
sol_optimas,200,19900.0,TABU_CICLOS,13456.1,30755,1318
sol_optimas,200,19900.0,TABU_ESTRUCTURA,13497.233333333332,30162,725
sol_optimas,144,10296.0,TABU_CICLOS,4840.953333333334,58813,276
sol_optimas,144,10296.0,TABU_ESTRUCTURA,4817.733333333334,58722,185
sol_optimas,318,50403.0,TABU_CICLOS,72312.6,48778,7433
sol_optimas,318,50403.0,TABU_ESTRUCTURA,77497.06666666667,46916,5571
sol_optimas,150,11175.0,TABU_CICLOS,5441.076666666667,27341,817
sol_optimas,150,11175.0,TABU_ESTRUCTURA,5440.11,27388,864
sol_optimas,100,4950.0,TABU_CICLOS,1824.5900000000001,21393,111
sol_optimas,100,4950.0,TABU_ESTRUCTURA,1723.4533333333336,21393,111
sol_optimas,14,91.0,TABU_CICLOS,25.43043333333333,3323,0
