dataset,n,m,metodo,tiempo,costo
peor-caso-ga,3,3.0,INS,0.00353,234
peor-caso-ga,3,3.0,AGM,0.009946,234
peor-caso-ga,3,3.0,GA,0.025855,234
peor-caso-ga,4,6.0,INS,0.005663,291
peor-caso-ga,4,6.0,AGM,0.011357,291
peor-caso-ga,4,6.0,GA,0.016948,291
peor-caso-ga,5,10.0,INS,0.004821,345
peor-caso-ga,5,10.0,AGM,0.010643,345
peor-caso-ga,5,10.0,GA,0.016971,345
peor-caso-ga,6,15.0,INS,0.007636,388
peor-caso-ga,6,15.0,AGM,0.014449,381
peor-caso-ga,6,15.0,GA,0.02717,381
peor-caso-ga,7,21.0,INS,0.015164,435
peor-caso-ga,7,21.0,AGM,0.017147,478
peor-caso-ga,7,21.0,GA,0.070659,459
peor-caso-ga,8,28.0,INS,0.012251,496
peor-caso-ga,8,28.0,AGM,0.040245,534
peor-caso-ga,8,28.0,GA,0.087468,537
peor-caso-ga,9,36.0,INS,0.010682,573
peor-caso-ga,9,36.0,AGM,0.022172,597
peor-caso-ga,9,36.0,GA,0.071333,577
peor-caso-ga,10,45.0,INS,0.040437,595
peor-caso-ga,10,45.0,AGM,0.02095,635
peor-caso-ga,10,45.0,GA,0.076579,619
peor-caso-ga,11,55.0,INS,0.01517,647
peor-caso-ga,11,55.0,AGM,0.023529,694
peor-caso-ga,11,55.0,GA,0.069189,643
peor-caso-ga,12,66.0,INS,0.017439,711
peor-caso-ga,12,66.0,AGM,0.020997,728
peor-caso-ga,12,66.0,GA,0.084983,743
peor-caso-ga,13,78.0,INS,0.019397,787
peor-caso-ga,13,78.0,AGM,0.026496,807
peor-caso-ga,13,78.0,GA,0.119426,759
peor-caso-ga,14,91.0,INS,0.029265,808
peor-caso-ga,14,91.0,AGM,0.030319,885
peor-caso-ga,14,91.0,GA,0.135582,835
peor-caso-ga,15,105.0,INS,0.023406,877
peor-caso-ga,15,105.0,AGM,0.047459,897
peor-caso-ga,15,105.0,GA,0.154489,876
peor-caso-ga,16,120.0,INS,0.043758,931
peor-caso-ga,16,120.0,AGM,0.040129,1033
peor-caso-ga,16,120.0,GA,0.3545,910
peor-caso-ga,17,136.0,INS,0.022972,1010
peor-caso-ga,17,136.0,AGM,0.032011,1043
peor-caso-ga,17,136.0,GA,0.164426,1011
peor-caso-ga,18,153.0,INS,0.049845,999
peor-caso-ga,18,153.0,AGM,0.044077,1082
peor-caso-ga,18,153.0,GA,0.257009,1003
peor-caso-ga,19,171.0,INS,0.034914,1092
peor-caso-ga,19,171.0,AGM,0.036014,1251
peor-caso-ga,19,171.0,GA,0.385988,1093
peor-caso-ga,20,190.0,INS,0.033796,1140
peor-caso-ga,20,190.0,AGM,0.037169,1299
peor-caso-ga,20,190.0,GA,0.269695,1153
peor-caso-ga,21,210.0,INS,0.057917,1199
peor-caso-ga,21,210.0,AGM,0.050617,1245
peor-caso-ga,21,210.0,GA,0.303909,1210
peor-caso-ga,22,231.0,INS,0.050726,1317
peor-caso-ga,22,231.0,AGM,0.049762,1393
peor-caso-ga,22,231.0,GA,0.360661,1281
peor-caso-ga,23,253.0,INS,0.051436,1273
peor-caso-ga,23,253.0,AGM,0.051513,1386
peor-caso-ga,23,253.0,GA,0.407166,1228
peor-caso-ga,24,276.0,INS,0.059155,1348
peor-caso-ga,24,276.0,AGM,0.05492,1449
peor-caso-ga,24,276.0,GA,0.357909,1345
peor-caso-ga,25,300.0,INS,0.103221,1367
peor-caso-ga,25,300.0,AGM,0.044608,1531
peor-caso-ga,25,300.0,GA,0.387987,1402
peor-caso-ga,26,325.0,INS,0.114651,1472
peor-caso-ga,26,325.0,AGM,0.061517,1597
peor-caso-ga,26,325.0,GA,0.517352,1417
peor-caso-ga,27,351.0,INS,0.132182,1533
peor-caso-ga,27,351.0,AGM,0.108616,1690
peor-caso-ga,27,351.0,GA,0.479198,1534
peor-caso-ga,28,378.0,INS,0.093569,1578
peor-caso-ga,28,378.0,AGM,0.069786,1712
peor-caso-ga,28,378.0,GA,1.23506,1547
peor-caso-ga,29,406.0,INS,0.06461,1613
peor-caso-ga,29,406.0,AGM,0.06559,1807
peor-caso-ga,29,406.0,GA,0.503724,1612
peor-caso-ga,30,435.0,INS,0.073698,1655
peor-caso-ga,30,435.0,AGM,0.056427,1718
peor-caso-ga,30,435.0,GA,0.878332,1658
peor-caso-ga,31,465.0,INS,0.114803,1714
peor-caso-ga,31,465.0,AGM,0.074201,1883
peor-caso-ga,31,465.0,GA,1.21597,1691
peor-caso-ga,32,496.0,INS,0.156213,1756
peor-caso-ga,32,496.0,AGM,0.095647,1929
peor-caso-ga,32,496.0,GA,0.713186,1735
peor-caso-ga,33,528.0,INS,0.178581,1857
peor-caso-ga,33,528.0,AGM,0.095954,2048
peor-caso-ga,33,528.0,GA,0.739515,1832
peor-caso-ga,34,561.0,INS,0.123874,1889
peor-caso-ga,34,561.0,AGM,0.113606,2115
peor-caso-ga,34,561.0,GA,1.00292,1877
peor-caso-ga,35,595.0,INS,0.127993,1930
peor-caso-ga,35,595.0,AGM,0.096164,2226
peor-caso-ga,35,595.0,GA,1.46321,1973
peor-caso-ga,36,630.0,INS,0.134502,2000
peor-caso-ga,36,630.0,AGM,0.138603,2057
peor-caso-ga,36,630.0,GA,1.61072,1947
peor-caso-ga,37,666.0,INS,0.126107,2058
peor-caso-ga,37,666.0,AGM,0.090456,2215
peor-caso-ga,37,666.0,GA,1.16946,2002
peor-caso-ga,38,703.0,INS,0.211091,2106
peor-caso-ga,38,703.0,AGM,0.117851,2377
peor-caso-ga,38,703.0,GA,1.47306,2074
peor-caso-ga,39,741.0,INS,0.261584,2161
peor-caso-ga,39,741.0,AGM,0.141764,2354
peor-caso-ga,39,741.0,GA,2.53756,2117
peor-caso-ga,40,780.0,INS,0.272521,2189
peor-caso-ga,40,780.0,AGM,0.091993,2472
peor-caso-ga,40,780.0,GA,1.65859,2158
peor-caso-ga,41,820.0,INS,0.181247,2257
peor-caso-ga,41,820.0,AGM,0.137373,2456
peor-caso-ga,41,820.0,GA,1.46881,2194
peor-caso-ga,42,861.0,INS,0.248664,2244
peor-caso-ga,42,861.0,AGM,0.207699,2540
peor-caso-ga,42,861.0,GA,1.95106,2213
peor-caso-ga,43,903.0,INS,0.175733,2319
peor-caso-ga,43,903.0,AGM,0.133343,2619
peor-caso-ga,43,903.0,GA,1.39463,2284
peor-caso-ga,44,946.0,INS,0.179122,2390
peor-caso-ga,44,946.0,AGM,0.107875,2761
peor-caso-ga,44,946.0,GA,1.27533,2310
peor-caso-ga,45,990.0,INS,0.218207,2477
peor-caso-ga,45,990.0,AGM,0.268977,2959
peor-caso-ga,45,990.0,GA,4.06083,2433
peor-caso-ga,46,1035.0,INS,0.346734,2497
peor-caso-ga,46,1035.0,AGM,0.1151,2910
peor-caso-ga,46,1035.0,GA,4.20347,2460
peor-caso-ga,47,1081.0,INS,0.213197,2569
peor-caso-ga,47,1081.0,AGM,0.164469,2828
peor-caso-ga,47,1081.0,GA,5.00017,2474
peor-caso-ga,48,1128.0,INS,0.264382,2600
peor-caso-ga,48,1128.0,AGM,0.191023,2807
peor-caso-ga,48,1128.0,GA,2.33885,2561
peor-caso-ga,49,1176.0,INS,0.316801,2686
peor-caso-ga,49,1176.0,AGM,0.323756,2997
peor-caso-ga,49,1176.0,GA,2.2042,2607
peor-caso-ga,50,1225.0,INS,0.307871,2699
peor-caso-ga,50,1225.0,AGM,0.210403,2996
peor-caso-ga,50,1225.0,GA,2.26878,2646
peor-caso-ga,51,1275.0,INS,0.3622,2792
peor-caso-ga,51,1275.0,AGM,0.241093,3123
peor-caso-ga,51,1275.0,GA,6.84903,2688
peor-caso-ga,52,1326.0,INS,0.585424,2815
peor-caso-ga,52,1326.0,AGM,0.321663,3254
peor-caso-ga,52,1326.0,GA,3.31913,2744
peor-caso-ga,53,1378.0,INS,0.380783,2846
peor-caso-ga,53,1378.0,AGM,0.208979,3313
peor-caso-ga,53,1378.0,GA,2.11732,2830
peor-caso-ga,54,1431.0,INS,0.292011,2892
peor-caso-ga,54,1431.0,AGM,0.238387,3382
peor-caso-ga,54,1431.0,GA,3.06224,2905
peor-caso-ga,55,1485.0,INS,0.34659,2938
peor-caso-ga,55,1485.0,AGM,0.319623,3386
peor-caso-ga,55,1485.0,GA,2.98437,2944
peor-caso-ga,56,1540.0,INS,0.6235,3022
peor-caso-ga,56,1540.0,AGM,0.22078,3219
peor-caso-ga,56,1540.0,GA,4.03792,2934
peor-caso-ga,57,1596.0,INS,0.528478,3096
peor-caso-ga,57,1596.0,AGM,0.292891,3474
peor-caso-ga,57,1596.0,GA,3.5155,2958
peor-caso-ga,58,1653.0,INS,0.485173,3119
peor-caso-ga,58,1653.0,AGM,0.237846,3418
peor-caso-ga,58,1653.0,GA,4.00225,3032
peor-caso-ga,59,1711.0,INS,0.463063,3168
peor-caso-ga,59,1711.0,AGM,0.238867,3552
peor-caso-ga,59,1711.0,GA,4.21912,3102
