dataset,n,m,metodo,tiempo,costo
peor-caso-ga,3,3.0,INS,0.0147,1000002
peor-caso-ga,3,3.0,AGM,0.0287,1000002
peor-caso-ga,3,3.0,GA,0.0255,1000002
peor-caso-ga,4,6.0,INS,0.0148,6
peor-caso-ga,4,6.0,AGM,0.0327,1000003
peor-caso-ga,4,6.0,GA,0.0243,1000003
peor-caso-ga,5,10.0,INS,0.018,7
peor-caso-ga,5,10.0,AGM,0.0249,1000004
peor-caso-ga,5,10.0,GA,0.0264,1000004
peor-caso-ga,6,15.0,INS,0.0343,8
peor-caso-ga,6,15.0,AGM,0.0519,1000005
peor-caso-ga,6,15.0,GA,0.0378,1000005
peor-caso-ga,7,21.0,INS,0.0179,9
peor-caso-ga,7,21.0,AGM,0.0246,1000006
peor-caso-ga,7,21.0,GA,0.0383,1000006
peor-caso-ga,8,28.0,INS,0.0161,10
peor-caso-ga,8,28.0,AGM,0.0248,1000007
peor-caso-ga,8,28.0,GA,0.1155,1000007
peor-caso-ga,9,36.0,INS,0.016,11
peor-caso-ga,9,36.0,AGM,0.0374,1000008
peor-caso-ga,9,36.0,GA,0.0637,1000008
peor-caso-ga,10,45.0,INS,0.0178,12
peor-caso-ga,10,45.0,AGM,0.0281,1000009
peor-caso-ga,10,45.0,GA,0.106,1000009
peor-caso-ga,11,55.0,INS,0.0304,13
peor-caso-ga,11,55.0,AGM,0.0381,1000010
peor-caso-ga,11,55.0,GA,0.1325,1000010
peor-caso-ga,12,66.0,INS,0.0231,14
peor-caso-ga,12,66.0,AGM,0.0292,1000011
peor-caso-ga,12,66.0,GA,0.1083,1000011
peor-caso-ga,13,78.0,INS,0.0188,15
peor-caso-ga,13,78.0,AGM,0.0769,1000012
peor-caso-ga,13,78.0,GA,0.1806,1000012
peor-caso-ga,14,91.0,INS,0.0226,16
peor-caso-ga,14,91.0,AGM,0.0488,1000013
peor-caso-ga,14,91.0,GA,0.0976,1000013
peor-caso-ga,15,105.0,INS,0.0212,17
peor-caso-ga,15,105.0,AGM,0.035,1000014
peor-caso-ga,15,105.0,GA,0.1058,1000014
peor-caso-ga,16,120.0,INS,0.0233,18
peor-caso-ga,16,120.0,AGM,0.0422,1000015
peor-caso-ga,16,120.0,GA,0.1219,1000015
peor-caso-ga,17,136.0,INS,0.0292,19
peor-caso-ga,17,136.0,AGM,0.0372,1000016
peor-caso-ga,17,136.0,GA,0.3089,1000016
peor-caso-ga,18,153.0,INS,0.0292,20
peor-caso-ga,18,153.0,AGM,0.1543,1000017
peor-caso-ga,18,153.0,GA,0.1532,1000017
peor-caso-ga,19,171.0,INS,0.0267,21
peor-caso-ga,19,171.0,AGM,0.0382,1000018
peor-caso-ga,19,171.0,GA,0.1964,1000018
peor-caso-ga,20,190.0,INS,0.0321,22
peor-caso-ga,20,190.0,AGM,0.1025,1000019
peor-caso-ga,20,190.0,GA,0.1761,1000019
peor-caso-ga,21,210.0,INS,0.0285,23
peor-caso-ga,21,210.0,AGM,0.0426,1000020
peor-caso-ga,21,210.0,GA,0.2039,1000020
peor-caso-ga,22,231.0,INS,0.0296,24
peor-caso-ga,22,231.0,AGM,0.0656,1000021
peor-caso-ga,22,231.0,GA,0.2116,1000021
peor-caso-ga,23,253.0,INS,0.0371,25
peor-caso-ga,23,253.0,AGM,0.091,1000022
peor-caso-ga,23,253.0,GA,0.2241,1000022
peor-caso-ga,24,276.0,INS,0.0396,26
peor-caso-ga,24,276.0,AGM,0.05,1000023
peor-caso-ga,24,276.0,GA,0.2596,1000023
peor-caso-ga,25,300.0,INS,0.0484,27
peor-caso-ga,25,300.0,AGM,0.0721,1000024
peor-caso-ga,25,300.0,GA,0.3298,1000024
peor-caso-ga,26,325.0,INS,0.0367,28
peor-caso-ga,26,325.0,AGM,0.0536,1000025
peor-caso-ga,26,325.0,GA,0.306,1000025
peor-caso-ga,27,351.0,INS,0.0394,29
peor-caso-ga,27,351.0,AGM,0.0543,1000026
peor-caso-ga,27,351.0,GA,0.3287,1000026
peor-caso-ga,28,378.0,INS,0.0433,30
