dataset,n,m,metodo,tiempo,costo
grafo-propio,3,3.0,INS,0.0041794,189
grafo-propio,3,3.0,AGM,0.021404199999999998,189
grafo-propio,3,3.0,GA,0.0221528,189
grafo-propio,4,6.0,INS,0.0115994,103
grafo-propio,4,6.0,AGM,0.012701600000000002,103
grafo-propio,4,6.0,GA,0.02251,103
grafo-propio,5,10.0,INS,0.0092386,94
grafo-propio,5,10.0,AGM,0.014776800000000001,110
grafo-propio,5,10.0,GA,0.0298738,110
grafo-propio,6,15.0,INS,0.011264399999999999,229
grafo-propio,6,15.0,AGM,0.017280800000000002,175
grafo-propio,6,15.0,GA,0.041582400000000005,143
grafo-propio,7,21.0,INS,0.0108798,318
grafo-propio,7,21.0,AGM,0.0152728,314
grafo-propio,7,21.0,GA,0.055571999999999996,244
grafo-propio,8,28.0,INS,0.0125918,137
grafo-propio,8,28.0,AGM,0.0225772,220
grafo-propio,8,28.0,GA,0.07703600000000001,194
grafo-propio,9,36.0,INS,0.013899,290
grafo-propio,9,36.0,AGM,0.0220266,310
grafo-propio,9,36.0,GA,0.0913852,183
grafo-propio,10,45.0,INS,0.0192178,580
grafo-propio,10,45.0,AGM,0.0258778,308
grafo-propio,10,45.0,GA,0.15545979999999998,148
grafo-propio,11,55.0,INS,0.019472800000000002,450
grafo-propio,11,55.0,AGM,0.032481600000000006,227
grafo-propio,11,55.0,GA,0.15226060000000002,157
grafo-propio,12,66.0,INS,0.0177318,371
grafo-propio,12,66.0,AGM,0.028660200000000004,336
grafo-propio,12,66.0,GA,0.1358888,246
grafo-propio,13,78.0,INS,0.0256878,411
grafo-propio,13,78.0,AGM,0.031911800000000004,260
grafo-propio,13,78.0,GA,0.19281359999999997,258
grafo-propio,14,91.0,INS,0.028910399999999996,734
grafo-propio,14,91.0,AGM,0.0299438,303
grafo-propio,14,91.0,GA,0.2553194,294
grafo-propio,15,105.0,INS,0.0327816,594
grafo-propio,15,105.0,AGM,0.0402228,351
grafo-propio,15,105.0,GA,0.3123154,341
grafo-propio,16,120.0,INS,0.0422642,198
grafo-propio,16,120.0,AGM,0.048868800000000004,397
grafo-propio,16,120.0,GA,0.282632,215
grafo-propio,17,136.0,INS,0.03857619999999999,702
grafo-propio,17,136.0,AGM,0.04652920000000001,297
