dataset,n,m,metodo,tiempo,costo
grafo-propio,3,3.0,TABU_CICLOS,1.5484076,189
grafo-propio,3,3.0,TABU_ESTRUCTURA,1.505224,189
grafo-propio,4,6.0,TABU_CICLOS,3.183448,103
grafo-propio,4,6.0,TABU_ESTRUCTURA,4.416314,103
grafo-propio,5,10.0,TABU_CICLOS,5.77882,94
grafo-propio,5,10.0,TABU_ESTRUCTURA,7.496233999999999,94
grafo-propio,6,15.0,TABU_CICLOS,9.913622,123
grafo-propio,6,15.0,TABU_ESTRUCTURA,10.006148,123
grafo-propio,7,21.0,TABU_CICLOS,14.114920000000001,244
grafo-propio,7,21.0,TABU_ESTRUCTURA,13.811340000000001,244
grafo-propio,8,28.0,TABU_CICLOS,16.94932,178
grafo-propio,8,28.0,TABU_ESTRUCTURA,17.51672,178
grafo-propio,9,36.0,TABU_CICLOS,23.36788,183
grafo-propio,9,36.0,TABU_ESTRUCTURA,22.867199999999997,183
grafo-propio,10,45.0,TABU_CICLOS,29.972640000000002,148
grafo-propio,10,45.0,TABU_ESTRUCTURA,30.38876,148
grafo-propio,11,55.0,TABU_CICLOS,35.84442,157
grafo-propio,11,55.0,TABU_ESTRUCTURA,36.730740000000004,157
grafo-propio,12,66.0,TABU_CICLOS,42.1567,209
grafo-propio,12,66.0,TABU_ESTRUCTURA,42.846500000000006,209
grafo-propio,13,78.0,TABU_CICLOS,51.95194,179
grafo-propio,13,78.0,TABU_ESTRUCTURA,48.91868,179
grafo-propio,14,91.0,TABU_CICLOS,58.522619999999996,201
grafo-propio,14,91.0,TABU_ESTRUCTURA,61.11042,222
grafo-propio,15,105.0,TABU_CICLOS,67.15196,262
grafo-propio,15,105.0,TABU_ESTRUCTURA,70.26874000000001,262
grafo-propio,16,120.0,TABU_CICLOS,80.1413,169
grafo-propio,16,120.0,TABU_ESTRUCTURA,83.57374,194
grafo-propio,17,136.0,TABU_CICLOS,93.12198000000001,122
grafo-propio,17,136.0,TABU_ESTRUCTURA,87.01556,138
grafo-propio,18,153.0,TABU_CICLOS,89.9233,257
grafo-propio,18,153.0,TABU_ESTRUCTURA,96.21362,257
grafo-propio,19,171.0,TABU_CICLOS,108.924,224
grafo-propio,19,171.0,TABU_ESTRUCTURA,108.03096000000001,222
grafo-propio,20,190.0,TABU_CICLOS,122.2618,172
grafo-propio,20,190.0,TABU_ESTRUCTURA,113.0112,177
grafo-propio,21,210.0,TABU_CICLOS,122.69380000000001,210
grafo-propio,21,210.0,TABU_ESTRUCTURA,127.5886,210
grafo-propio,22,231.0,TABU_CICLOS,141.41940000000002,257
grafo-propio,22,231.0,TABU_ESTRUCTURA,146.363,257
grafo-propio,23,253.0,TABU_CICLOS,149.911,174
grafo-propio,23,253.0,TABU_ESTRUCTURA,139.21380000000002,174
grafo-propio,24,276.0,TABU_CICLOS,166.0904,163
grafo-propio,24,276.0,TABU_ESTRUCTURA,151.88139999999999,160
grafo-propio,25,300.0,TABU_CICLOS,166.993,206
grafo-propio,25,300.0,TABU_ESTRUCTURA,172.0532,211
grafo-propio,26,325.0,TABU_CICLOS,189.7784,236
grafo-propio,26,325.0,TABU_ESTRUCTURA,167.12099999999998,214
grafo-propio,27,351.0,TABU_CICLOS,190.76260000000002,245
grafo-propio,27,351.0,TABU_ESTRUCTURA,190.26619999999997,276
grafo-propio,28,378.0,TABU_CICLOS,218.3838,184
grafo-propio,28,378.0,TABU_ESTRUCTURA,206.23780000000002,158
grafo-propio,29,406.0,TABU_CICLOS,225.40479999999997,206
grafo-propio,29,406.0,TABU_ESTRUCTURA,217.8138,206
grafo-propio,30,435.0,TABU_CICLOS,273.5152,201
grafo-propio,30,435.0,TABU_ESTRUCTURA,270.591,205
grafo-propio,31,465.0,TABU_CICLOS,273.062,226
grafo-propio,31,465.0,TABU_ESTRUCTURA,251.86980000000003,226
grafo-propio,32,496.0,TABU_CICLOS,297.461,206
grafo-propio,32,496.0,TABU_ESTRUCTURA,297.31600000000003,249
grafo-propio,33,528.0,TABU_CICLOS,307.4602,198
grafo-propio,33,528.0,TABU_ESTRUCTURA,304.61580000000004,225
grafo-propio,34,561.0,TABU_CICLOS,321.777,244
grafo-propio,34,561.0,TABU_ESTRUCTURA,302.24760000000003,276
grafo-propio,35,595.0,TABU_CICLOS,322.61199999999997,302
grafo-propio,35,595.0,TABU_ESTRUCTURA,330.1748,305
grafo-propio,36,630.0,TABU_CICLOS,351.068,222
grafo-propio,36,630.0,TABU_ESTRUCTURA,340.39660000000003,238
grafo-propio,37,666.0,TABU_CICLOS,373.3354,218
grafo-propio,37,666.0,TABU_ESTRUCTURA,360.93899999999996,230
grafo-propio,38,703.0,TABU_CICLOS,396.97619999999995,280
grafo-propio,38,703.0,TABU_ESTRUCTURA,420.1716,280
grafo-propio,39,741.0,TABU_CICLOS,470.1166,251
grafo-propio,39,741.0,TABU_ESTRUCTURA,446.5848,251
grafo-propio,40,780.0,TABU_CICLOS,476.45320000000004,187
grafo-propio,40,780.0,TABU_ESTRUCTURA,436.05699999999996,198
grafo-propio,41,820.0,TABU_CICLOS,518.9667999999999,214
grafo-propio,41,820.0,TABU_ESTRUCTURA,487.6496,214
grafo-propio,42,861.0,TABU_CICLOS,523.772,222
grafo-propio,42,861.0,TABU_ESTRUCTURA,492.8094,220
grafo-propio,43,903.0,TABU_CICLOS,573.4588000000001,192
grafo-propio,43,903.0,TABU_ESTRUCTURA,602.2441999999999,204
grafo-propio,44,946.0,TABU_CICLOS,604.273,280
grafo-propio,44,946.0,TABU_ESTRUCTURA,560.7252000000001,257
grafo-propio,45,990.0,TABU_CICLOS,603.1985999999999,189
grafo-propio,45,990.0,TABU_ESTRUCTURA,583.4685999999999,197
grafo-propio,46,1035.0,TABU_CICLOS,628.1199999999999,227
grafo-propio,46,1035.0,TABU_ESTRUCTURA,658.1256,232
grafo-propio,47,1081.0,TABU_CICLOS,687.8504,216
grafo-propio,47,1081.0,TABU_ESTRUCTURA,654.825,216
grafo-propio,48,1128.0,TABU_CICLOS,666.0328,191
grafo-propio,48,1128.0,TABU_ESTRUCTURA,641.951,183
grafo-propio,49,1176.0,TABU_CICLOS,704.7090000000001,185
grafo-propio,49,1176.0,TABU_ESTRUCTURA,705.0252,206
grafo-propio,50,1225.0,TABU_CICLOS,740.5816000000001,223
grafo-propio,50,1225.0,TABU_ESTRUCTURA,747.0766,234
grafo-propio,51,1275.0,TABU_CICLOS,756.469,160
grafo-propio,51,1275.0,TABU_ESTRUCTURA,732.4484,162
grafo-propio,52,1326.0,TABU_CICLOS,798.8822,253
grafo-propio,52,1326.0,TABU_ESTRUCTURA,760.5562,258
grafo-propio,53,1378.0,TABU_CICLOS,806.3824000000001,241
grafo-propio,53,1378.0,TABU_ESTRUCTURA,882.8156000000001,230
grafo-propio,54,1431.0,TABU_CICLOS,852.7956,220
grafo-propio,54,1431.0,TABU_ESTRUCTURA,916.106,215
grafo-propio,55,1485.0,TABU_CICLOS,912.2064,254
grafo-propio,55,1485.0,TABU_ESTRUCTURA,838.0129999999999,262
grafo-propio,56,1540.0,TABU_CICLOS,916.7726,230
grafo-propio,56,1540.0,TABU_ESTRUCTURA,879.8878000000001,221
grafo-propio,57,1596.0,TABU_CICLOS,945.8702,222
grafo-propio,57,1596.0,TABU_ESTRUCTURA,895.9135999999999,222
grafo-propio,58,1653.0,TABU_CICLOS,956.1554,203
grafo-propio,58,1653.0,TABU_ESTRUCTURA,972.5888000000001,204
grafo-propio,59,1711.0,TABU_CICLOS,997.2825999999999,264
grafo-propio,59,1711.0,TABU_ESTRUCTURA,998.1854,256
grafo-propio,60,1770.0,TABU_CICLOS,1034.99,297
grafo-propio,60,1770.0,TABU_ESTRUCTURA,1042.37,290
grafo-propio,61,1830.0,TABU_CICLOS,1108.014,211
grafo-propio,61,1830.0,TABU_ESTRUCTURA,1092.366,189
grafo-propio,62,1891.0,TABU_CICLOS,1122.402,245
grafo-propio,62,1891.0,TABU_ESTRUCTURA,1104.0279999999998,223
grafo-propio,63,1953.0,TABU_CICLOS,1170.1960000000001,292
grafo-propio,63,1953.0,TABU_ESTRUCTURA,1220.6200000000001,261
grafo-propio,64,2016.0,TABU_CICLOS,1348.816,268
grafo-propio,64,2016.0,TABU_ESTRUCTURA,1315.3199999999997,282
grafo-propio,65,2080.0,TABU_CICLOS,1440.038,179
grafo-propio,65,2080.0,TABU_ESTRUCTURA,1325.958,189
grafo-propio,66,2145.0,TABU_CICLOS,1395.636,227
grafo-propio,66,2145.0,TABU_ESTRUCTURA,1281.626,204
grafo-propio,67,2211.0,TABU_CICLOS,1390.186,186
grafo-propio,67,2211.0,TABU_ESTRUCTURA,1316.468,186
grafo-propio,68,2278.0,TABU_CICLOS,1382.666,292
grafo-propio,68,2278.0,TABU_ESTRUCTURA,1369.264,263
grafo-propio,69,2346.0,TABU_CICLOS,1544.9060000000002,219
grafo-propio,69,2346.0,TABU_ESTRUCTURA,1504.068,216
grafo-propio,70,2415.0,TABU_CICLOS,1464.0639999999999,215
grafo-propio,70,2415.0,TABU_ESTRUCTURA,1482.4,202
grafo-propio,71,2485.0,TABU_CICLOS,1513.016,203
grafo-propio,71,2485.0,TABU_ESTRUCTURA,1580.824,210
grafo-propio,72,2556.0,TABU_CICLOS,1683.7939999999999,227
grafo-propio,72,2556.0,TABU_ESTRUCTURA,1685.44,222
grafo-propio,73,2628.0,TABU_CICLOS,1769.3539999999998,264
grafo-propio,73,2628.0,TABU_ESTRUCTURA,1625.58,236
grafo-propio,74,2701.0,TABU_CICLOS,1674.696,231
grafo-propio,74,2701.0,TABU_ESTRUCTURA,1722.6380000000001,207
grafo-propio,75,2775.0,TABU_CICLOS,1946.884,201
grafo-propio,75,2775.0,TABU_ESTRUCTURA,1863.0400000000002,198
