dataset,n,m,metodo,tiempo,costo
grafo-propio,3,3.0,TABU_CICLOS 160 30 300,0.7093803333333333,189
grafo-propio,3,3.0,TABU_ESTRUCTURA 80 10 200,0.303807,189
grafo-propio,4,6.0,TABU_CICLOS 160 30 300,0.6521493333333334,103
grafo-propio,4,6.0,TABU_ESTRUCTURA 80 10 200,0.366873,103
grafo-propio,5,10.0,TABU_CICLOS 160 30 300,1.1169633333333333,94
grafo-propio,5,10.0,TABU_ESTRUCTURA 80 10 200,0.371278,94
grafo-propio,6,15.0,TABU_CICLOS 160 30 300,2.316216666666667,143
grafo-propio,6,15.0,TABU_ESTRUCTURA 80 10 200,0.37199333333333334,143
grafo-propio,7,21.0,TABU_CICLOS 160 30 300,2.7209133333333333,244
grafo-propio,7,21.0,TABU_ESTRUCTURA 80 10 200,0.8246776666666666,244
grafo-propio,8,28.0,TABU_CICLOS 160 30 300,4.1621733333333335,178
grafo-propio,8,28.0,TABU_ESTRUCTURA 80 10 200,0.6883516666666667,194
grafo-propio,9,36.0,TABU_CICLOS 160 30 300,5.061920000000001,183
grafo-propio,9,36.0,TABU_ESTRUCTURA 80 10 200,1.1620033333333333,183
grafo-propio,10,45.0,TABU_CICLOS 160 30 300,6.063133333333333,148
grafo-propio,10,45.0,TABU_ESTRUCTURA 80 10 200,1.7195600000000002,148
grafo-propio,11,55.0,TABU_CICLOS 160 30 300,7.5073066666666675,157
grafo-propio,11,55.0,TABU_ESTRUCTURA 80 10 200,1.6691166666666668,157
grafo-propio,12,66.0,TABU_CICLOS 160 30 300,9.11252,246
grafo-propio,12,66.0,TABU_ESTRUCTURA 80 10 200,2.4610633333333336,246
grafo-propio,13,78.0,TABU_CICLOS 160 30 300,12.081333333333333,190
grafo-propio,13,78.0,TABU_ESTRUCTURA 80 10 200,5.113833333333333,249
grafo-propio,14,91.0,TABU_CICLOS 160 30 300,16.55656666666667,262
grafo-propio,14,91.0,TABU_ESTRUCTURA 80 10 200,3.663273333333333,245
grafo-propio,15,105.0,TABU_CICLOS 160 30 300,13.837666666666665,274
grafo-propio,15,105.0,TABU_ESTRUCTURA 80 10 200,3.1125833333333333,299
grafo-propio,16,120.0,TABU_CICLOS 160 30 300,14.745566666666667,205
grafo-propio,16,120.0,TABU_ESTRUCTURA 80 10 200,4.366226666666667,215
grafo-propio,17,136.0,TABU_CICLOS 160 30 300,18.3529,164
grafo-propio,17,136.0,TABU_ESTRUCTURA 80 10 200,4.64934,183
grafo-propio,18,153.0,TABU_CICLOS 160 30 300,21.682866666666666,260
