dataset,n,m,metodo,tiempo,costo
grafo-propio,3,3.0,TABU_CICLOS 160 30 300,0.528091,189
grafo-propio,3,3.0,TABU_ESTRUCTURA 80 10 200,0.4419566666666667,189
grafo-propio,4,6.0,TABU_CICLOS 160 30 300,0.8147876666666667,103
grafo-propio,4,6.0,TABU_ESTRUCTURA 80 10 200,0.39819033333333337,103
grafo-propio,5,10.0,TABU_CICLOS 160 30 300,1.2070076666666667,110
grafo-propio,5,10.0,TABU_ESTRUCTURA 80 10 200,0.4475526666666667,110
grafo-propio,6,15.0,TABU_CICLOS 160 30 300,2.5999466666666664,123
grafo-propio,6,15.0,TABU_ESTRUCTURA 80 10 200,0.556242,175
grafo-propio,7,21.0,TABU_CICLOS 160 30 300,3.3181100000000003,244
grafo-propio,7,21.0,TABU_ESTRUCTURA 80 10 200,0.6562043333333334,314
grafo-propio,8,28.0,TABU_CICLOS 160 30 300,3.414236666666666,178
grafo-propio,8,28.0,TABU_ESTRUCTURA 80 10 200,1.0297016666666667,194
grafo-propio,9,36.0,TABU_CICLOS 160 30 300,4.325376666666666,203
grafo-propio,9,36.0,TABU_ESTRUCTURA 80 10 200,1.07473,209
grafo-propio,10,45.0,TABU_CICLOS 160 30 300,7.135406666666666,239
grafo-propio,10,45.0,TABU_ESTRUCTURA 80 10 200,1.5524166666666666,308
grafo-propio,11,55.0,TABU_CICLOS 160 30 300,7.23093,219
grafo-propio,11,55.0,TABU_ESTRUCTURA 80 10 200,1.8179066666666668,219
grafo-propio,12,66.0,TABU_CICLOS 160 30 300,9.87055,295
grafo-propio,12,66.0,TABU_ESTRUCTURA 80 10 200,2.23527,329
grafo-propio,13,78.0,TABU_CICLOS 160 30 300,12.167900000000001,204
grafo-propio,13,78.0,TABU_ESTRUCTURA 80 10 200,2.7091966666666667,263
grafo-propio,14,91.0,TABU_CICLOS 160 30 300,12.435299999999998,270
grafo-propio,14,91.0,TABU_ESTRUCTURA 80 10 200,2.70253,385
grafo-propio,15,105.0,TABU_CICLOS 160 30 300,13.495733333333334,306
grafo-propio,15,105.0,TABU_ESTRUCTURA 80 10 200,3.92647,332
grafo-propio,16,120.0,TABU_CICLOS 160 30 300,17.193633333333334,228
grafo-propio,16,120.0,TABU_ESTRUCTURA 80 10 200,4.053536666666667,327
grafo-propio,17,136.0,TABU_CICLOS 160 30 300,18.1619,195
grafo-propio,17,136.0,TABU_ESTRUCTURA 80 10 200,5.088869999999999,249
grafo-propio,18,153.0,TABU_CICLOS 160 30 300,19.1566,320
grafo-propio,18,153.0,TABU_ESTRUCTURA 80 10 200,4.775480000000001,320
grafo-propio,19,171.0,TABU_CICLOS 160 30 300,21.369833333333332,288
grafo-propio,19,171.0,TABU_ESTRUCTURA 80 10 200,6.39773,350
grafo-propio,20,190.0,TABU_CICLOS 160 30 300,24.8269,253
grafo-propio,20,190.0,TABU_ESTRUCTURA 80 10 200,5.153016666666667,477
grafo-propio,21,210.0,TABU_CICLOS 160 30 300,27.5959,244
grafo-propio,21,210.0,TABU_ESTRUCTURA 80 10 200,6.613313333333333,338
grafo-propio,22,231.0,TABU_CICLOS 160 30 300,32.4366,320
grafo-propio,22,231.0,TABU_ESTRUCTURA 80 10 200,6.873386666666666,366
