dataset,n,m,metodo,tiempo,costo
grafo-propio,3,3.0,TABU_CICLOS 160 30 300,0.521006,189
grafo-propio,3,3.0,TABU_ESTRUCTURA 80 10 200,0.301232,189
grafo-propio,4,6.0,TABU_CICLOS 160 30 300,0.6786723333333334,103
grafo-propio,4,6.0,TABU_ESTRUCTURA 80 10 200,0.3659483333333333,103
grafo-propio,5,10.0,TABU_CICLOS 160 30 300,1.0560193333333332,94
grafo-propio,5,10.0,TABU_ESTRUCTURA 80 10 200,0.47015699999999994,94
grafo-propio,6,15.0,TABU_CICLOS 160 30 300,2.5989566666666666,229
grafo-propio,6,15.0,TABU_ESTRUCTURA 80 10 200,0.5580280000000001,229
grafo-propio,7,21.0,TABU_CICLOS 160 30 300,2.7087833333333333,311
grafo-propio,7,21.0,TABU_ESTRUCTURA 80 10 200,1.0493810000000001,318
grafo-propio,8,28.0,TABU_CICLOS 160 30 300,5.028953333333334,104
grafo-propio,8,28.0,TABU_ESTRUCTURA 80 10 200,0.7885110000000001,137
grafo-propio,9,36.0,TABU_CICLOS 160 30 300,5.04037,290
grafo-propio,9,36.0,TABU_ESTRUCTURA 80 10 200,1.0932053333333334,290
grafo-propio,10,45.0,TABU_CICLOS 160 30 300,6.819703333333333,580
grafo-propio,10,45.0,TABU_ESTRUCTURA 80 10 200,1.6332766666666665,580
grafo-propio,11,55.0,TABU_CICLOS 160 30 300,8.363143333333333,450
grafo-propio,11,55.0,TABU_ESTRUCTURA 80 10 200,1.9423699999999997,450
grafo-propio,12,66.0,TABU_CICLOS 160 30 300,9.353906666666667,371
grafo-propio,12,66.0,TABU_ESTRUCTURA 80 10 200,2.6287533333333335,371
grafo-propio,13,78.0,TABU_CICLOS 160 30 300,13.218266666666667,384
grafo-propio,13,78.0,TABU_ESTRUCTURA 80 10 200,2.3768933333333333,398
grafo-propio,14,91.0,TABU_CICLOS 160 30 300,11.529600000000002,702
grafo-propio,14,91.0,TABU_ESTRUCTURA 80 10 200,3.05137,684
grafo-propio,15,105.0,TABU_CICLOS 160 30 300,15.5297,543
