dataset,n,m,metodo,tiempo,costo,memoria,vecindad,iteraciones
sol_optimas,127,8001.0,TABU_CICLOS 160 5 300,158.896,123528,160,5,300
sol_optimas,127,8001.0,TABU_CICLOS 160 10 300,239.156,124290,160,10,300
sol_optimas,127,8001.0,TABU_CICLOS 160 15 300,350.59,122177,160,15,300
sol_optimas,127,8001.0,TABU_CICLOS 160 20 300,417.571,122860,160,20,300
sol_optimas,127,8001.0,TABU_CICLOS 160 25 300,633.78,122682,160,25,300
sol_optimas,127,8001.0,TABU_CICLOS 160 30 300,711.269,122725,160,30,300
sol_optimas,127,8001.0,TABU_CICLOS 160 35 300,747.332,122221,160,35,300
sol_optimas,127,8001.0,TABU_CICLOS 160 40 300,817.566,122930,160,40,300
sol_optimas,127,8001.0,TABU_CICLOS 160 45 300,1026.18,123014,160,45,300
sol_optimas,127,8001.0,TABU_CICLOS 160 50 300,1121.64,122956,160,50,300
sol_optimas,127,8001.0,TABU_CICLOS 160 55 300,1384.59,122947,160,55,300
sol_optimas,127,8001.0,TABU_CICLOS 160 60 300,1674.08,123172,160,60,300
sol_optimas,127,8001.0,TABU_CICLOS 160 65 300,1658.26,122947,160,65,300
sol_optimas,127,8001.0,TABU_CICLOS 160 70 300,1626.06,123237,160,70,300
sol_optimas,127,8001.0,TABU_CICLOS 160 75 300,1977.43,123253,160,75,300
sol_optimas,127,8001.0,TABU_CICLOS 160 80 300,1962.69,123253,160,80,300
sol_optimas,127,8001.0,TABU_CICLOS 160 85 300,1987.35,123289,160,85,300
sol_optimas,127,8001.0,TABU_CICLOS 160 90 300,2059.34,123289,160,90,300
sol_optimas,127,8001.0,TABU_CICLOS 160 95 300,2180.02,123289,160,95,300
sol_optimas,127,8001.0,TABU_CICLOS 160 100 300,2272.28,122983,160,100,300
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 5 300,80.0806,125704,160,5,300
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 10 300,95.1763,124933,160,10,300
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 15 300,111.097,125169,160,15,300
