dataset,n,m,metodo,tiempo,costo,memoria,vecindad,iteraciones
sol_optimas,318,50403.0,TABU_CICLOS 40 10 100,7812.1,49397,40,10,100
sol_optimas,318,50403.0,TABU_CICLOS 40 10 200,18852.3,49241,40,10,200
sol_optimas,318,50403.0,TABU_CICLOS 40 10 300,25826.6,49487,40,10,300
sol_optimas,318,50403.0,TABU_CICLOS 40 10 400,33072.8,49530,40,10,400
sol_optimas,318,50403.0,TABU_CICLOS 40 30 100,21051.0,49374,40,30,100
sol_optimas,318,50403.0,TABU_CICLOS 40 30 200,43419.2,48897,40,30,200
sol_optimas,318,50403.0,TABU_CICLOS 40 30 300,55729.9,49385,40,30,300
sol_optimas,318,50403.0,TABU_CICLOS 40 30 400,49631.9,49278,40,30,400
sol_optimas,318,50403.0,TABU_CICLOS 40 50 100,17636.6,48579,40,50,100
sol_optimas,318,50403.0,TABU_CICLOS 40 50 200,35021.2,48897,40,50,200
sol_optimas,318,50403.0,TABU_CICLOS 40 50 300,48269.0,48897,40,50,300
sol_optimas,318,50403.0,TABU_CICLOS 40 50 400,62978.0,48584,40,50,400
sol_optimas,318,50403.0,TABU_CICLOS 80 10 100,4159.51,49374,80,10,100
sol_optimas,318,50403.0,TABU_CICLOS 80 10 200,8158.25,48728,80,10,200
sol_optimas,318,50403.0,TABU_CICLOS 80 10 300,12170.9,49238,80,10,300
sol_optimas,318,50403.0,TABU_CICLOS 80 10 400,16595.6,49278,80,10,400
sol_optimas,318,50403.0,TABU_CICLOS 80 30 100,10889.3,49242,80,30,100
sol_optimas,318,50403.0,TABU_CICLOS 80 30 200,21714.2,49385,80,30,200
sol_optimas,318,50403.0,TABU_CICLOS 80 30 300,32032.4,49374,80,30,300
sol_optimas,318,50403.0,TABU_CICLOS 80 30 400,42998.0,48860,80,30,400
sol_optimas,318,50403.0,TABU_CICLOS 80 50 100,15831.9,48897,80,50,100
sol_optimas,318,50403.0,TABU_CICLOS 80 50 200,31524.7,47803,80,50,200
sol_optimas,318,50403.0,TABU_CICLOS 80 50 300,47493.0,49306,80,50,300
sol_optimas,318,50403.0,TABU_CICLOS 80 50 400,62773.3,48897,80,50,400
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 10 100,4141.61,46852,40,10,100
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 10 200,8087.13,48078,40,10,200
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 10 300,12119.5,45641,40,10,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 10 400,16270.9,45105,40,10,400
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 30 100,10935.0,47237,40,30,100
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 30 200,21538.1,45419,40,30,200
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 30 300,31583.2,46361,40,30,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 30 400,43381.0,48639,40,30,400
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 50 100,15868.7,46233,40,50,100
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 50 200,31427.5,47632,40,50,200
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 50 300,46896.9,47031,40,50,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 40 50 400,62527.8,46985,40,50,400
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 10 100,4177.01,48689,80,10,100
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 10 200,8289.58,45443,80,10,200
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 10 300,12305.2,45114,80,10,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 10 400,16303.6,45523,80,10,400
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 30 100,10899.3,46272,80,30,100
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 30 200,21760.5,48269,80,30,200
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 30 300,32680.2,47460,80,30,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 30 400,44072.1,47887,80,30,400
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 50 100,15864.6,48037,80,50,100
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 50 200,31973.1,47400,80,50,200
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 50 300,47140.4,46936,80,50,300
sol_optimas,318,50403.0,TABU_ESTRUCTURA 80 50 400,62913.2,47285,80,50,400
