dataset,n,m,metodo,tiempo,costo,memoria,vecindad,iteraciones
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 10 100,179.301,289,10,10,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 10 150,224.977,283,10,10,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 10 200,347.047,267,10,10,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 10 250,389.729,267,10,10,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 10 300,453.742,263,10,10,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 10 350,562.424,295,10,10,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 10 400,612.513,273,10,10,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 20 100,289.671,246,10,20,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 20 150,440.916,242,10,20,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 20 200,588.718,269,10,20,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 20 250,683.55,254,10,20,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 20 300,826.133,258,10,20,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 20 350,996.876,226,10,20,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 20 400,1107.45,268,10,20,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 30 100,407.129,230,10,30,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 30 150,606.895,231,10,30,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 30 200,827.002,231,10,30,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 30 250,1093.13,227,10,30,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 30 300,1291.49,240,10,30,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 30 350,1463.41,243,10,30,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 30 400,1756.37,234,10,30,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 40 100,572.645,240,10,40,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 40 150,870.161,246,10,40,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 40 200,1070.01,237,10,40,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 40 250,1263.21,206,10,40,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 40 300,1675.88,224,10,40,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 40 350,2189.85,258,10,40,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 40 400,2430.36,246,10,40,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 50 100,690.914,235,10,50,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 50 150,1058.92,219,10,50,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 50 200,1592.54,220,10,50,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 50 250,1942.39,234,10,50,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 50 300,2213.89,226,10,50,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 50 350,2263.41,226,10,50,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 50 400,2560.02,228,10,50,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 60 100,761.59,225,10,60,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 60 150,1111.38,205,10,60,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 60 200,1466.38,243,10,60,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 60 250,1838.4,235,10,60,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 60 300,2234.48,224,10,60,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 60 350,2867.07,231,10,60,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 60 400,3098.56,216,10,60,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 70 100,825.741,223,10,70,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 70 150,1258.93,229,10,70,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 70 200,1735.0,205,10,70,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 70 250,2139.58,231,10,70,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 70 300,2555.95,211,10,70,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 70 350,3465.52,249,10,70,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 70 400,3761.03,222,10,70,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 80 100,1116.99,203,10,80,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 80 150,1554.29,243,10,80,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 80 200,2090.49,213,10,80,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 80 250,2565.01,235,10,80,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 80 300,3065.75,210,10,80,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 80 350,3642.18,230,10,80,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 80 400,3992.33,212,10,80,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 90 100,1138.84,216,10,90,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 90 150,1666.83,210,10,90,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 90 200,2251.1,209,10,90,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 90 250,2833.78,199,10,90,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 90 300,3453.21,221,10,90,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 90 350,3893.78,234,10,90,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 90 400,4523.6,213,10,90,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 100 100,1299.39,240,10,100,100
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 100 150,1815.47,217,10,100,150
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 100 200,2407.6,216,10,100,200
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 100 250,3050.77,238,10,100,250
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 100 300,3733.16,210,10,100,300
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 100 350,4224.84,217,10,100,350
grafo-propio,100,4950.0,TABU_ESTRUCTURA 10 100 400,4908.87,207,10,100,400
grafo-propio,100,4950.0,TABU_ESTRUCTURA 20 10 100,215.391,284,20,10,100
